date,Business Bay,DAMAC HILLS 2,DAMAC HILLS,TOWN SQUARE,DownTown Dubai,Dubai Creek Harbour,Dubai Marina,Dubai South Residential District,Dubai Sports City,Al Furjan,International City Phase 1,Jumeirah Lakes Towers,Jumeirah Village Circle,Jumeirah Village Triangle,Jumeriah Beach Residence  - JBR,Mudon,Palm Jumeirah,Silicon Oasis,The Greens,Global
2015-09-06,67.625,2.375,4.125,23.625,53.5,1.375,50.375,2.125,43.25,15.0,44.375,58.25,52.0,9.375,11.75,23.5,36.0,55.625,22.75,577.0
2015-09-13,78.125,4.875,9.25,24.625,53.625,1.375,52.5,2.125,53.25,20.75,47.625,61.5,58.5,11.75,12.75,31.125,38.125,58.25,23.875,644.0
2015-09-20,83.625,17.5,9.5,29.125,56.375,1.375,61.0,2.125,57.0,22.75,53.0,66.375,59.5,10.875,13.5,35.875,42.125,66.5,23.75,711.875
2015-09-27,78.0,19.0,9.75,32.25,55.5,1.375,60.5,2.125,57.625,22.5,52.5,62.0,57.75,9.875,12.875,38.0,37.625,64.625,22.25,696.125
2015-10-04,77.5,24.0,10.75,45.625,54.875,1.25,63.125,2.125,60.125,21.125,50.0,61.625,58.25,10.875,13.5,39.125,40.875,50.125,22.5,707.375
2015-10-11,76.125,27.0,13.5,50.875,48.375,1.25,65.25,2.125,60.375,21.25,50.0,65.125,55.875,11.125,13.5,50.75,43.0,44.75,24.125,724.375
2015-10-18,75.375,26.25,14.875,48.875,42.625,0.0,64.875,0.375,53.375,26.375,46.625,64.125,53.25,11.75,12.875,55.75,40.875,41.25,21.75,701.25
2015-10-25,66.0,26.625,14.0,45.375,43.625,0.0,64.125,0.25,54.75,26.5,44.625,59.375,51.625,12.875,12.625,52.375,43.5,37.25,21.75,677.25
2015-11-01,68.125,26.5,13.375,42.5,43.875,0.375,55.625,0.25,52.875,22.875,43.375,53.875,50.125,12.375,10.625,43.0,45.75,32.375,19.75,637.625
2015-11-08,60.5,23.5,14.375,51.75,43.5,1.875,56.375,0.125,43.25,18.0,42.75,49.25,46.75,10.5,10.625,34.875,45.75,31.375,20.25,605.375
2015-11-15,61.5,18.625,23.5,74.875,46.25,2.25,54.375,0.875,40.625,17.5,41.375,45.875,50.75,10.25,10.25,30.25,47.375,30.375,20.75,627.625
2015-11-22,69.625,22.5,33.875,88.125,51.5,2.75,58.875,1.0,69.25,18.25,45.625,51.0,51.75,11.0,10.625,31.25,52.25,35.625,22.625,727.5
2015-11-29,74.625,21.375,40.0,91.125,60.75,3.0,62.0,1.875,87.625,19.375,50.0,50.625,57.625,9.75,9.75,29.0,54.375,34.5,22.375,779.75
2015-12-06,70.25,18.625,38.375,86.125,58.75,4.0,58.0,2.0,85.75,18.0,53.625,44.75,55.375,8.75,9.375,16.75,52.375,35.25,19.875,736.0
2015-12-13,71.875,19.125,38.75,133.25,66.875,4.125,64.0,2.375,96.0,13.25,57.875,45.125,56.375,8.75,11.0,12.25,55.375,39.0,22.5,817.875
2015-12-20,67.25,23.0,41.375,143.625,69.25,5.125,65.125,2.625,104.0,13.625,61.625,48.0,54.875,8.5,10.25,9.625,51.875,44.75,22.5,847.0
2015-12-27,63.25,31.75,41.0,152.125,69.0,5.125,69.25,2.625,111.5,17.75,65.0,48.25,55.875,9.25,12.875,13.875,47.0,49.5,24.375,889.375
2016-01-03,66.625,38.875,37.375,144.5,70.0,3.875,70.875,2.625,123.375,28.375,61.875,48.875,55.875,9.375,12.875,17.0,45.75,50.375,22.625,911.125
2016-01-10,62.125,36.625,31.375,117.25,65.375,3.875,67.375,2.0,123.5,30.0,61.75,52.0,51.375,11.0,13.25,18.75,42.125,44.125,22.5,856.375
2016-01-17,61.125,41.125,23.375,103.375,61.0,3.625,63.75,1.875,101.375,30.25,58.25,49.75,50.0,10.0,12.25,16.75,38.125,39.75,20.875,786.625
2016-01-24,56.375,45.0,16.25,86.875,51.875,3.375,58.875,1.0,81.875,30.625,58.125,49.0,43.625,11.0,13.25,17.875,32.75,40.125,21.125,719.0
2016-01-31,66.0,53.625,18.5,87.25,55.125,3.0,66.0,1.125,83.5,32.0,58.125,51.75,50.375,12.375,13.5,18.75,36.875,45.625,25.375,778.875
2016-02-07,73.0,67.125,18.75,55.5,51.625,4.5,64.875,1.25,79.75,31.75,55.625,48.625,50.375,12.875,12.125,17.75,36.125,51.125,25.625,758.375
2016-02-14,82.25,78.875,17.875,42.5,55.0,3.625,65.5,1.125,70.5,31.875,53.125,46.25,54.375,13.0,13.0,19.75,35.5,51.375,24.375,759.875
2016-02-21,84.75,79.375,18.125,37.625,59.75,3.375,64.0,1.25,64.5,26.375,48.875,50.125,54.625,12.75,11.875,16.875,35.375,52.625,21.25,743.5
2016-02-28,88.5,77.125,16.375,45.125,61.0,10.25,62.5,1.375,54.0,15.875,50.5,52.375,54.75,12.5,13.875,14.0,35.375,78.0,21.5,765.0
