system:index,ndbi,region,week_start,.geo
0,,damac_hills,2015-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,,damac_hills,2015-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,,damac_hills,2015-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,,damac_hills,2015-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,,damac_hills,2015-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,,damac_hills,2015-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,,damac_hills,2015-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,,damac_hills,2015-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,,damac_hills,2015-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,,damac_hills,2015-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,,damac_hills,2015-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,,damac_hills,2015-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,,damac_hills,2015-06-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,,damac_hills,2015-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,,damac_hills,2015-07-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,,damac_hills,2015-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,,damac_hills,2015-07-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,,damac_hills,2015-07-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,,damac_hills,2015-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,,damac_hills,2015-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,,damac_hills,2015-08-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,,damac_hills,2015-08-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,,damac_hills,2015-09-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,,damac_hills,2015-09-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,,damac_hills,2015-09-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,,damac_hills,2015-09-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,,damac_hills,2015-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,,damac_hills,2015-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,,damac_hills,2015-10-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,,damac_hills,2015-10-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,,damac_hills,2015-10-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,,damac_hills,2015-11-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,,damac_hills,2015-11-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,,damac_hills,2015-11-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,,damac_hills,2015-11-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,,damac_hills,2015-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,,damac_hills,2015-12-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,,damac_hills,2015-12-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,,damac_hills,2015-12-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,,damac_hills,2015-12-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,,damac_hills,2016-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,,damac_hills,2016-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,,damac_hills,2016-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,,damac_hills,2016-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,,damac_hills,2016-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,,damac_hills,2016-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,,damac_hills,2016-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,,damac_hills,2016-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,,damac_hills,2016-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,,damac_hills,2016-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,,damac_hills,2016-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,,damac_hills,2016-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,,damac_hills,2016-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,,damac_hills,2016-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,,damac_hills,2016-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,,damac_hills,2016-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,,damac_hills,2016-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,,damac_hills,2016-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,,damac_hills,2016-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,,damac_hills,2016-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,,damac_hills,2016-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,,damac_hills,2016-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,,damac_hills,2016-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,,damac_hills,2016-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,,damac_hills,2016-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,,damac_hills,2016-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,,damac_hills,2016-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,,damac_hills,2016-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,,damac_hills,2016-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,,damac_hills,2016-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,,damac_hills,2016-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,,damac_hills,2016-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,,damac_hills,2016-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,,damac_hills,2016-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,,damac_hills,2016-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,,damac_hills,2016-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,,damac_hills,2016-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,,damac_hills,2016-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,,damac_hills,2016-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,,damac_hills,2016-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,,damac_hills,2016-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,,damac_hills,2016-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,,damac_hills,2016-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,,damac_hills,2016-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,,damac_hills,2016-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,,damac_hills,2016-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,,damac_hills,2016-11-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,,damac_hills,2016-11-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,,damac_hills,2016-12-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,,damac_hills,2016-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,,damac_hills,2016-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,,damac_hills,2016-12-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,,damac_hills,2017-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,,damac_hills,2017-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,,damac_hills,2017-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,,damac_hills,2017-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,,damac_hills,2017-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,,damac_hills,2017-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,,damac_hills,2017-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,,damac_hills,2017-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,,damac_hills,2017-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,,damac_hills,2017-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,,damac_hills,2017-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,,damac_hills,2017-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,,damac_hills,2017-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,,damac_hills,2017-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,,damac_hills,2017-04-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,,damac_hills,2017-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,,damac_hills,2017-04-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,,damac_hills,2017-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,,damac_hills,2017-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,,damac_hills,2017-05-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,,damac_hills,2017-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,,damac_hills,2017-05-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,,damac_hills,2017-06-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,,damac_hills,2017-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,,damac_hills,2017-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,,damac_hills,2017-06-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,,damac_hills,2017-07-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,,damac_hills,2017-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,,damac_hills,2017-07-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,,damac_hills,2017-07-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
