system:index,ndbi,region,week_start,.geo
0,,jumeirah_village_triangle,2015-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,,jumeirah_village_triangle,2015-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,,jumeirah_village_triangle,2015-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,,jumeirah_village_triangle,2015-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,,jumeirah_village_triangle,2015-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,,jumeirah_village_triangle,2015-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,,jumeirah_village_triangle,2015-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,,jumeirah_village_triangle,2015-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,,jumeirah_village_triangle,2015-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,,jumeirah_village_triangle,2015-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,,jumeirah_village_triangle,2015-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,,jumeirah_village_triangle,2015-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,,jumeirah_village_triangle,2015-06-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,,jumeirah_village_triangle,2015-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,,jumeirah_village_triangle,2015-07-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,,jumeirah_village_triangle,2015-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,,jumeirah_village_triangle,2015-07-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,,jumeirah_village_triangle,2015-07-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,,jumeirah_village_triangle,2015-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,,jumeirah_village_triangle,2015-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,,jumeirah_village_triangle,2015-08-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
