system:index,ndbi,region,week_start,.geo
0,,jumeriah_beach_residence,2015-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,,jumeriah_beach_residence,2015-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,,jumeriah_beach_residence,2015-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,,jumeriah_beach_residence,2015-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,,jumeriah_beach_residence,2015-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,,jumeriah_beach_residence,2015-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,,jumeriah_beach_residence,2015-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,,jumeriah_beach_residence,2015-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,,jumeriah_beach_residence,2015-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,,jumeriah_beach_residence,2015-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,,jumeriah_beach_residence,2015-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,,jumeriah_beach_residence,2015-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,,jumeriah_beach_residence,2015-06-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,,jumeriah_beach_residence,2015-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,,jumeriah_beach_residence,2015-07-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,,jumeriah_beach_residence,2015-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,,jumeriah_beach_residence,2015-07-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,,jumeriah_beach_residence,2015-07-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,,jumeriah_beach_residence,2015-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,,jumeriah_beach_residence,2015-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,,jumeriah_beach_residence,2015-08-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,,jumeriah_beach_residence,2015-08-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,,jumeriah_beach_residence,2015-09-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,,jumeriah_beach_residence,2015-09-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,,jumeriah_beach_residence,2015-09-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,,jumeriah_beach_residence,2015-09-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,,jumeriah_beach_residence,2015-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,,jumeriah_beach_residence,2015-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,,jumeriah_beach_residence,2015-10-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,,jumeriah_beach_residence,2015-10-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,,jumeriah_beach_residence,2015-10-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,,jumeriah_beach_residence,2015-11-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,,jumeriah_beach_residence,2015-11-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,,jumeriah_beach_residence,2015-11-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,,jumeriah_beach_residence,2015-11-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,,jumeriah_beach_residence,2015-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,,jumeriah_beach_residence,2015-12-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,,jumeriah_beach_residence,2015-12-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,,jumeriah_beach_residence,2015-12-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,,jumeriah_beach_residence,2015-12-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,,jumeriah_beach_residence,2016-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,,jumeriah_beach_residence,2016-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,,jumeriah_beach_residence,2016-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,,jumeriah_beach_residence,2016-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,,jumeriah_beach_residence,2016-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,,jumeriah_beach_residence,2016-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,,jumeriah_beach_residence,2016-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,,jumeriah_beach_residence,2016-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,,jumeriah_beach_residence,2016-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,,jumeriah_beach_residence,2016-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,,jumeriah_beach_residence,2016-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,,jumeriah_beach_residence,2016-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,,jumeriah_beach_residence,2016-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,,jumeriah_beach_residence,2016-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,,jumeriah_beach_residence,2016-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,,jumeriah_beach_residence,2016-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,,jumeriah_beach_residence,2016-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,,jumeriah_beach_residence,2016-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,,jumeriah_beach_residence,2016-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,,jumeriah_beach_residence,2016-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,,jumeriah_beach_residence,2016-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,,jumeriah_beach_residence,2016-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,,jumeriah_beach_residence,2016-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,,jumeriah_beach_residence,2016-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,,jumeriah_beach_residence,2016-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,,jumeriah_beach_residence,2016-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,,jumeriah_beach_residence,2016-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,,jumeriah_beach_residence,2016-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,,jumeriah_beach_residence,2016-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,,jumeriah_beach_residence,2016-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,,jumeriah_beach_residence,2016-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,,jumeriah_beach_residence,2016-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,,jumeriah_beach_residence,2016-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,,jumeriah_beach_residence,2016-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,,jumeriah_beach_residence,2016-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,,jumeriah_beach_residence,2016-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,,jumeriah_beach_residence,2016-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,,jumeriah_beach_residence,2016-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,,jumeriah_beach_residence,2016-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,,jumeriah_beach_residence,2016-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,,jumeriah_beach_residence,2016-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,,jumeriah_beach_residence,2016-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,,jumeriah_beach_residence,2016-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,,jumeriah_beach_residence,2016-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,,jumeriah_beach_residence,2016-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,,jumeriah_beach_residence,2016-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,,jumeriah_beach_residence,2016-11-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,,jumeriah_beach_residence,2016-11-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,,jumeriah_beach_residence,2016-12-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,,jumeriah_beach_residence,2016-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,,jumeriah_beach_residence,2016-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,,jumeriah_beach_residence,2016-12-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,,jumeriah_beach_residence,2017-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,,jumeriah_beach_residence,2017-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,,jumeriah_beach_residence,2017-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,,jumeriah_beach_residence,2017-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,,jumeriah_beach_residence,2017-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,,jumeriah_beach_residence,2017-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,,jumeriah_beach_residence,2017-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,,jumeriah_beach_residence,2017-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,,jumeriah_beach_residence,2017-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,,jumeriah_beach_residence,2017-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,,jumeriah_beach_residence,2017-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,,jumeriah_beach_residence,2017-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,,jumeriah_beach_residence,2017-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,,jumeriah_beach_residence,2017-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,,jumeriah_beach_residence,2017-04-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,,jumeriah_beach_residence,2017-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,,jumeriah_beach_residence,2017-04-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,,jumeriah_beach_residence,2017-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,,jumeriah_beach_residence,2017-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,,jumeriah_beach_residence,2017-05-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,,jumeriah_beach_residence,2017-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,,jumeriah_beach_residence,2017-05-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,,jumeriah_beach_residence,2017-06-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,,jumeriah_beach_residence,2017-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,,jumeriah_beach_residence,2017-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,,jumeriah_beach_residence,2017-06-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,,jumeriah_beach_residence,2017-07-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,,jumeriah_beach_residence,2017-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,,jumeriah_beach_residence,2017-07-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,,jumeriah_beach_residence,2017-07-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,,jumeriah_beach_residence,2017-08-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,,jumeriah_beach_residence,2017-08-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,,jumeriah_beach_residence,2017-08-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,,jumeriah_beach_residence,2017-08-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,,jumeriah_beach_residence,2017-08-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,,jumeriah_beach_residence,2017-09-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,,jumeriah_beach_residence,2017-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,,jumeriah_beach_residence,2017-09-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,,jumeriah_beach_residence,2017-09-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,,jumeriah_beach_residence,2017-10-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,,jumeriah_beach_residence,2017-10-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,,jumeriah_beach_residence,2017-10-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,,jumeriah_beach_residence,2017-10-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,,jumeriah_beach_residence,2017-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,,jumeriah_beach_residence,2017-11-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,,jumeriah_beach_residence,2017-11-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,,jumeriah_beach_residence,2017-11-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,,jumeriah_beach_residence,2017-11-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,,jumeriah_beach_residence,2017-12-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,,jumeriah_beach_residence,2017-12-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,,jumeriah_beach_residence,2017-12-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,,jumeriah_beach_residence,2017-12-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
