system:index,ndbi,region,week_start,.geo
0,,mudon,2015-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,,mudon,2015-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,,mudon,2015-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,,mudon,2015-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,,mudon,2015-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,,mudon,2015-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,,mudon,2015-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,,mudon,2015-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,,mudon,2015-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,,mudon,2015-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,,mudon,2015-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,,mudon,2015-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,,mudon,2015-06-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,,mudon,2015-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,,mudon,2015-07-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,,mudon,2015-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,,mudon,2015-07-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,,mudon,2015-07-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,,mudon,2015-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,,mudon,2015-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,,mudon,2015-08-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,,mudon,2015-08-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,,mudon,2015-09-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,,mudon,2015-09-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,,mudon,2015-09-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,,mudon,2015-09-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,,mudon,2015-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,,mudon,2015-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,,mudon,2015-10-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,,mudon,2015-10-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,,mudon,2015-10-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,,mudon,2015-11-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,,mudon,2015-11-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,,mudon,2015-11-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,,mudon,2015-11-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,,mudon,2015-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,,mudon,2015-12-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,,mudon,2015-12-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,,mudon,2015-12-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,,mudon,2015-12-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,,mudon,2016-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,,mudon,2016-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,,mudon,2016-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,,mudon,2016-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,,mudon,2016-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,,mudon,2016-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
