system:index,ndbi,region,week_start,.geo
0,,palm_jumeirah,2015-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,,palm_jumeirah,2015-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,,palm_jumeirah,2015-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,,palm_jumeirah,2015-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,,palm_jumeirah,2015-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,,palm_jumeirah,2015-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,,palm_jumeirah,2015-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,,palm_jumeirah,2015-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,,palm_jumeirah,2015-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,,palm_jumeirah,2015-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,,palm_jumeirah,2015-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,,palm_jumeirah,2015-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,,palm_jumeirah,2015-06-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,,palm_jumeirah,2015-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,,palm_jumeirah,2015-07-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,,palm_jumeirah,2015-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,,palm_jumeirah,2015-07-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,,palm_jumeirah,2015-07-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,,palm_jumeirah,2015-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,,palm_jumeirah,2015-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,,palm_jumeirah,2015-08-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,,palm_jumeirah,2015-08-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,,palm_jumeirah,2015-09-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,,palm_jumeirah,2015-09-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,,palm_jumeirah,2015-09-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,,palm_jumeirah,2015-09-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,,palm_jumeirah,2015-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,,palm_jumeirah,2015-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,,palm_jumeirah,2015-10-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,,palm_jumeirah,2015-10-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,,palm_jumeirah,2015-10-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,,palm_jumeirah,2015-11-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,,palm_jumeirah,2015-11-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,,palm_jumeirah,2015-11-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,,palm_jumeirah,2015-11-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
