system:index,ndbi,region,week_start,.geo
0,,the_greens,2015-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,,the_greens,2015-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,,the_greens,2015-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,,the_greens,2015-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,,the_greens,2015-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,,the_greens,2015-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,,the_greens,2015-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,,the_greens,2015-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,,the_greens,2015-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,,the_greens,2015-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,,the_greens,2015-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,,the_greens,2015-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,,the_greens,2015-06-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,,the_greens,2015-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,,the_greens,2015-07-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,,the_greens,2015-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,,the_greens,2015-07-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,,the_greens,2015-07-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,,the_greens,2015-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,,the_greens,2015-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,,the_greens,2015-08-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,,the_greens,2015-08-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,,the_greens,2015-09-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,,the_greens,2015-09-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,,the_greens,2015-09-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
