system:index,n_obs,region,vh_mean_db,vh_median_db,vh_p90_db,vv_mean_db,vv_median_db,vv_p90_db,vv_vh_ratio_mean_db,vv_vh_ratio_mean_lin,week_start,.geo
0,0,business_bay,,,,,,,,,2015-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,business_bay,,,,,,,,,2015-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,business_bay,,,,,,,,,2015-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1,business_bay,-14.242914767576691,-16.376584984067687,-4.125942929226616,-6.7704832240570525,-8.87590020841373,4.12768333394943,7.472431543519288,16.878430474991998,2015-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,business_bay,,,,,,,,,2015-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,business_bay,,,,,,,,,2015-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1,business_bay,-13.625174963754375,-15.747405003757871,-3.2484048331750293,-6.4327754995539035,-8.252715655843089,4.231534521289092,7.192399464200352,11.01271674115148,2015-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,business_bay,,,,,,,,,2015-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,business_bay,,,,,,,,,2015-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,business_bay,,,,,,,,,2015-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,business_bay,,,,,,,,,2015-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,business_bay,,,,,,,,,2015-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,business_bay,,,,,,,,,2015-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,business_bay,,,,,,,,,2015-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,business_bay,,,,,,,,,2015-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,business_bay,,,,,,,,,2015-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,business_bay,,,,,,,,,2015-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,business_bay,,,,,,,,,2015-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,business_bay,,,,,,,,,2015-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,business_bay,,,,,,,,,2015-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,business_bay,,,,,,,,,2015-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,business_bay,,,,,,,,,2015-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,business_bay,,,,,,,,,2015-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,business_bay,,,,,,,,,2015-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,business_bay,,,,,,,,,2015-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,business_bay,,,,,,,,,2015-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,business_bay,,,,,,,,,2015-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,business_bay,,,,,,,,,2015-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,business_bay,,,,,,,,,2015-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,business_bay,,,,,,,,,2015-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,business_bay,,,,,,,,,2015-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,business_bay,,,,,,,,,2015-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1,business_bay,-13.63332573127282,-15.257397232177006,-3.25065847411527,-6.154142956119264,-7.75534689051926,4.746541119389968,7.4791827751535855,13.003363636018745,2015-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,business_bay,,,,,,,,,2015-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,business_bay,,,,,,,,,2015-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,business_bay,,,,,,,,,2015-11-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,business_bay,,,,,,,,,2015-11-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,business_bay,,,,,,,,,2015-12-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,business_bay,,,,,,,,,2015-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,business_bay,,,,,,,,,2015-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,business_bay,,,,,,,,,2015-12-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,business_bay,,,,,,,,,2016-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,business_bay,,,,,,,,,2016-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0,business_bay,,,,,,,,,2016-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0,business_bay,,,,,,,,,2016-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0,business_bay,,,,,,,,,2016-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0,business_bay,,,,,,,,,2016-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,1,business_bay,-13.770902040553652,-15.752949236071736,-3.2527797274508887,-6.558807467847266,-8.247559859036135,4.248754194007618,7.2120945727064445,13.723562287843341,2016-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0,business_bay,,,,,,,,,2016-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0,business_bay,,,,,,,,,2016-02-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0,business_bay,,,,,,,,,2016-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0,business_bay,,,,,,,,,2016-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
