system:index,n_obs,region,vh_mean_db,vh_median_db,vh_p90_db,vv_mean_db,vv_median_db,vv_p90_db,vv_vh_ratio_mean_db,vv_vh_ratio_mean_lin,week_start,.geo
0,0,dubai_marina,,,,,,,,,2015-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,dubai_marina,,,,,,,,,2015-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,dubai_marina,,,,,,,,,2015-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1,dubai_marina,-8.03883724486904,-9.126819425882974,2.382616798357048,-1.2774124195540075,-2.1324395427854546,9.378061008888587,6.761424825315053,8.086287426037277,2015-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,dubai_marina,,,,,,,,,2015-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,dubai_marina,,,,,,,,,2015-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1,dubai_marina,-9.93275397916961,-11.373748394916941,0.3773102281431081,-3.92080304577136,-5.129045451499128,6.620012521519624,6.011950933398096,6.238328643069697,2015-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,dubai_marina,,,,,,,,,2015-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,dubai_marina,,,,,,,,,2015-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,dubai_marina,,,,,,,,,2015-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,dubai_marina,,,,,,,,,2015-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,dubai_marina,,,,,,,,,2015-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,dubai_marina,,,,,,,,,2015-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,dubai_marina,,,,,,,,,2015-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,dubai_marina,,,,,,,,,2015-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,dubai_marina,,,,,,,,,2015-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,dubai_marina,,,,,,,,,2015-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,dubai_marina,,,,,,,,,2015-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,dubai_marina,,,,,,,,,2015-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,dubai_marina,,,,,,,,,2015-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,dubai_marina,,,,,,,,,2015-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,dubai_marina,,,,,,,,,2015-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,dubai_marina,,,,,,,,,2015-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,dubai_marina,,,,,,,,,2015-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,dubai_marina,,,,,,,,,2015-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,dubai_marina,,,,,,,,,2015-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,dubai_marina,,,,,,,,,2015-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,dubai_marina,,,,,,,,,2015-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,dubai_marina,,,,,,,,,2015-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,dubai_marina,,,,,,,,,2015-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,dubai_marina,,,,,,,,,2015-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,dubai_marina,,,,,,,,,2015-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1,dubai_marina,-9.938042660191456,-11.375171492641671,0.3790131700876352,-3.8289618144050457,-5.122178608763223,6.637162483025618,6.109080845786433,6.765297915120385,2015-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,dubai_marina,,,,,,,,,2015-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,dubai_marina,,,,,,,,,2015-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,dubai_marina,,,,,,,,,2015-11-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,dubai_marina,,,,,,,,,2015-11-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,dubai_marina,,,,,,,,,2015-12-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,dubai_marina,,,,,,,,,2015-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,dubai_marina,,,,,,,,,2015-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,dubai_marina,,,,,,,,,2015-12-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,dubai_marina,,,,,,,,,2016-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,dubai_marina,,,,,,,,,2016-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0,dubai_marina,,,,,,,,,2016-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0,dubai_marina,,,,,,,,,2016-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0,dubai_marina,,,,,,,,,2016-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0,dubai_marina,,,,,,,,,2016-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,1,dubai_marina,-10.17125215538701,-11.373566564452139,0.11302802187133035,-4.551738342231377,-5.8835219931868945,6.124929227710372,5.619513813155663,5.784010284686797,2016-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0,dubai_marina,,,,,,,,,2016-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0,dubai_marina,,,,,,,,,2016-02-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0,dubai_marina,,,,,,,,,2016-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0,dubai_marina,,,,,,,,,2016-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0,dubai_marina,,,,,,,,,2016-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0,dubai_marina,,,,,,,,,2016-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0,dubai_marina,,,,,,,,,2016-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0,dubai_marina,,,,,,,,,2016-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0,dubai_marina,,,,,,,,,2016-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0,dubai_marina,,,,,,,,,2016-04-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0,dubai_marina,,,,,,,,,2016-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0,dubai_marina,,,,,,,,,2016-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
