system:index,n_obs,region,vh_mean_db,vh_median_db,vh_p90_db,vv_mean_db,vv_median_db,vv_p90_db,vv_vh_ratio_mean_db,vv_vh_ratio_mean_lin,week_start,.geo
0,0,jumeirah_lake_towers,,,,,,,,,2015-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,jumeirah_lake_towers,,,,,,,,,2015-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,jumeirah_lake_towers,,,,,,,,,2015-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1,jumeirah_lake_towers,-5.428207317102938,-6.633737526398942,6.3797028044994,-0.014897643522966651,-1.3648435902555054,11.377067187804364,5.413309673579944,5.114603466929188,2015-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,jumeirah_lake_towers,,,,,,,,,2015-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,jumeirah_lake_towers,,,,,,,,,2015-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1,jumeirah_lake_towers,-7.281426090897547,-8.747692788448513,4.260016779157923,-1.5000092643459375,-3.125044438304397,9.882297571433844,5.781416826551626,6.392935725781417,2015-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,jumeirah_lake_towers,,,,,,,,,2015-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,jumeirah_lake_towers,,,,,,,,,2015-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,jumeirah_lake_towers,,,,,,,,,2015-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,jumeirah_lake_towers,,,,,,,,,2015-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,jumeirah_lake_towers,,,,,,,,,2015-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,jumeirah_lake_towers,,,,,,,,,2015-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,jumeirah_lake_towers,,,,,,,,,2015-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,jumeirah_lake_towers,,,,,,,,,2015-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,jumeirah_lake_towers,,,,,,,,,2015-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,jumeirah_lake_towers,,,,,,,,,2015-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,jumeirah_lake_towers,,,,,,,,,2015-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,jumeirah_lake_towers,,,,,,,,,2015-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,jumeirah_lake_towers,,,,,,,,,2015-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,jumeirah_lake_towers,,,,,,,,,2015-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,jumeirah_lake_towers,,,,,,,,,2015-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,jumeirah_lake_towers,,,,,,,,,2015-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,jumeirah_lake_towers,,,,,,,,,2015-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,jumeirah_lake_towers,,,,,,,,,2015-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,jumeirah_lake_towers,,,,,,,,,2015-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,jumeirah_lake_towers,,,,,,,,,2015-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,jumeirah_lake_towers,,,,,,,,,2015-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,jumeirah_lake_towers,,,,,,,,,2015-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,jumeirah_lake_towers,,,,,,,,,2015-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,jumeirah_lake_towers,,,,,,,,,2015-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,jumeirah_lake_towers,,,,,,,,,2015-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1,jumeirah_lake_towers,-7.220274366078644,-8.747592932302465,4.764918213370058,-1.5368785560705631,-3.1205725028197393,10.122537787402788,5.683395810008041,6.497110177872964,2015-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,jumeirah_lake_towers,,,,,,,,,2015-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,jumeirah_lake_towers,,,,,,,,,2015-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,jumeirah_lake_towers,,,,,,,,,2015-11-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,jumeirah_lake_towers,,,,,,,,,2015-11-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,jumeirah_lake_towers,,,,,,,,,2015-12-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,jumeirah_lake_towers,,,,,,,,,2015-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,jumeirah_lake_towers,,,,,,,,,2015-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,jumeirah_lake_towers,,,,,,,,,2015-12-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,jumeirah_lake_towers,,,,,,,,,2016-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,jumeirah_lake_towers,,,,,,,,,2016-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0,jumeirah_lake_towers,,,,,,,,,2016-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0,jumeirah_lake_towers,,,,,,,,,2016-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0,jumeirah_lake_towers,,,,,,,,,2016-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0,jumeirah_lake_towers,,,,,,,,,2016-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,1,jumeirah_lake_towers,-7.644561046987559,-9.258063364081238,4.2370939515061945,-2.3310272865547037,-3.7576747664846097,9.26241354074154,5.313533760432829,5.735702302143307,2016-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0,jumeirah_lake_towers,,,,,,,,,2016-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0,jumeirah_lake_towers,,,,,,,,,2016-02-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0,jumeirah_lake_towers,,,,,,,,,2016-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
