system:index,n_obs,region,vh_mean_db,vh_median_db,vh_p90_db,vv_mean_db,vv_median_db,vv_p90_db,vv_vh_ratio_mean_db,vv_vh_ratio_mean_lin,week_start,.geo
0,0,jumeirah_village_circle,,,,,,,,,2015-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,jumeirah_village_circle,,,,,,,,,2015-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,jumeirah_village_circle,,,,,,,,,2015-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1,jumeirah_village_circle,-18.389556458489707,-19.62335104954977,-11.623640480364546,-10.784205734425456,-12.37654972519595,-3.1219465151328394,7.605350724063878,12.731364276998393,2015-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,jumeirah_village_circle,,,,,,,,,2015-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,jumeirah_village_circle,,,,,,,,,2015-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1,jumeirah_village_circle,-18.510639129868196,-19.875896155461476,-10.874374455066095,-11.136965743903295,-12.379028983057124,-3.626294075335258,7.373673385965036,8.177125830885041,2015-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,jumeirah_village_circle,,,,,,,,,2015-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,jumeirah_village_circle,,,,,,,,,2015-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,jumeirah_village_circle,,,,,,,,,2015-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,jumeirah_village_circle,,,,,,,,,2015-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,jumeirah_village_circle,,,,,,,,,2015-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,jumeirah_village_circle,,,,,,,,,2015-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,jumeirah_village_circle,,,,,,,,,2015-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,jumeirah_village_circle,,,,,,,,,2015-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,jumeirah_village_circle,,,,,,,,,2015-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,jumeirah_village_circle,,,,,,,,,2015-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,jumeirah_village_circle,,,,,,,,,2015-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,jumeirah_village_circle,,,,,,,,,2015-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,jumeirah_village_circle,,,,,,,,,2015-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,jumeirah_village_circle,,,,,,,,,2015-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,jumeirah_village_circle,,,,,,,,,2015-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,jumeirah_village_circle,,,,,,,,,2015-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,jumeirah_village_circle,,,,,,,,,2015-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,jumeirah_village_circle,,,,,,,,,2015-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,jumeirah_village_circle,,,,,,,,,2015-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,jumeirah_village_circle,,,,,,,,,2015-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,jumeirah_village_circle,,,,,,,,,2015-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,jumeirah_village_circle,,,,,,,,,2015-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,jumeirah_village_circle,,,,,,,,,2015-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,jumeirah_village_circle,,,,,,,,,2015-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,jumeirah_village_circle,,,,,,,,,2015-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1,jumeirah_village_circle,-18.70765545746589,-19.874948179467793,-10.381009488372497,-11.024913942073843,-12.376064013613211,-3.1253375686319376,7.682741515391984,9.859799131785318,2015-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,jumeirah_village_circle,,,,,,,,,2015-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,jumeirah_village_circle,,,,,,,,,2015-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,jumeirah_village_circle,,,,,,,,,2015-11-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,jumeirah_village_circle,,,,,,,,,2015-11-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,jumeirah_village_circle,,,,,,,,,2015-12-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,jumeirah_village_circle,,,,,,,,,2015-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,jumeirah_village_circle,,,,,,,,,2015-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,jumeirah_village_circle,,,,,,,,,2015-12-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,jumeirah_village_circle,,,,,,,,,2016-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,jumeirah_village_circle,,,,,,,,,2016-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0,jumeirah_village_circle,,,,,,,,,2016-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0,jumeirah_village_circle,,,,,,,,,2016-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0,jumeirah_village_circle,,,,,,,,,2016-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0,jumeirah_village_circle,,,,,,,,,2016-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,1,jumeirah_village_circle,-18.56320135754076,-19.627530585407616,-10.621304854347333,-11.521581283171937,-12.623004825944074,-3.623371176902142,7.0416200743688835,8.22478717556076,2016-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0,jumeirah_village_circle,,,,,,,,,2016-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
