system:index,n_obs,region,vh_mean_db,vh_median_db,vh_p90_db,vv_mean_db,vv_median_db,vv_p90_db,vv_vh_ratio_mean_db,vv_vh_ratio_mean_lin,week_start,.geo
0,0,jumeirah_village_triangle,,,,,,,,,2015-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,jumeirah_village_triangle,,,,,,,,,2015-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,jumeirah_village_triangle,,,,,,,,,2015-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1,jumeirah_village_triangle,-16.10116509979845,-16.190162037382535,-10.065429636741984,-9.494361875824971,-9.371897099575873,-3.8750871355912775,6.606803223973401,6.727005815276808,2015-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,jumeirah_village_triangle,,,,,,,,,2015-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,jumeirah_village_triangle,,,,,,,,,2015-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1,jumeirah_village_triangle,-16.817507964463825,-17.12886334306816,-10.86663852405014,-8.74963318537537,-8.880336297663678,-2.886132894280721,8.067874779088545,9.396133102950317,2015-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,jumeirah_village_triangle,,,,,,,,,2015-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,jumeirah_village_triangle,,,,,,,,,2015-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,jumeirah_village_triangle,,,,,,,,,2015-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,jumeirah_village_triangle,,,,,,,,,2015-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,jumeirah_village_triangle,,,,,,,,,2015-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,jumeirah_village_triangle,,,,,,,,,2015-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,jumeirah_village_triangle,,,,,,,,,2015-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,jumeirah_village_triangle,,,,,,,,,2015-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,jumeirah_village_triangle,,,,,,,,,2015-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,jumeirah_village_triangle,,,,,,,,,2015-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,jumeirah_village_triangle,,,,,,,,,2015-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,jumeirah_village_triangle,,,,,,,,,2015-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,jumeirah_village_triangle,,,,,,,,,2015-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,jumeirah_village_triangle,,,,,,,,,2015-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,jumeirah_village_triangle,,,,,,,,,2015-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,jumeirah_village_triangle,,,,,,,,,2015-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,jumeirah_village_triangle,,,,,,,,,2015-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
