system:index,n_obs,region,vh_mean_db,vh_median_db,vh_p90_db,vv_mean_db,vv_median_db,vv_p90_db,vv_vh_ratio_mean_db,vv_vh_ratio_mean_lin,week_start,.geo
0,0,jumeriah_beach_residence,,,,,,,,,2015-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,jumeriah_beach_residence,,,,,,,,,2015-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,jumeriah_beach_residence,,,,,,,,,2015-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1,jumeriah_beach_residence,-11.100593099004355,-12.127466209782055,-2.1181115769044894,-4.197162786070137,-5.36709752179299,4.625871069381587,6.903430312934169,7.529371547554981,2015-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,jumeriah_beach_residence,,,,,,,,,2015-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,jumeriah_beach_residence,,,,,,,,,2015-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1,jumeriah_beach_residence,-8.966846734089513,-8.881052924605296,0.3716879333339702,-2.6551394297138415,-2.874183877145116,6.869389282843726,6.311707304375672,6.22654370988244,2015-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,jumeriah_beach_residence,,,,,,,,,2015-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,jumeriah_beach_residence,,,,,,,,,2015-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,jumeriah_beach_residence,,,,,,,,,2015-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,jumeriah_beach_residence,,,,,,,,,2015-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,jumeriah_beach_residence,,,,,,,,,2015-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,jumeriah_beach_residence,,,,,,,,,2015-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,jumeriah_beach_residence,,,,,,,,,2015-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,jumeriah_beach_residence,,,,,,,,,2015-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,jumeriah_beach_residence,,,,,,,,,2015-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,jumeriah_beach_residence,,,,,,,,,2015-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,jumeriah_beach_residence,,,,,,,,,2015-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,jumeriah_beach_residence,,,,,,,,,2015-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,jumeriah_beach_residence,,,,,,,,,2015-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,jumeriah_beach_residence,,,,,,,,,2015-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,jumeriah_beach_residence,,,,,,,,,2015-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,jumeriah_beach_residence,,,,,,,,,2015-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,jumeriah_beach_residence,,,,,,,,,2015-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,jumeriah_beach_residence,,,,,,,,,2015-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,jumeriah_beach_residence,,,,,,,,,2015-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,jumeriah_beach_residence,,,,,,,,,2015-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,jumeriah_beach_residence,,,,,,,,,2015-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,jumeriah_beach_residence,,,,,,,,,2015-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,jumeriah_beach_residence,,,,,,,,,2015-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,jumeriah_beach_residence,,,,,,,,,2015-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,jumeriah_beach_residence,,,,,,,,,2015-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1,jumeriah_beach_residence,-9.149472439886601,-9.116501000767906,0.12296716679385754,-3.0206484950703003,-3.130547738071674,6.141131779554828,6.128823944816273,5.768117893806581,2015-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
