system:index,n_obs,region,vh_mean_db,vh_median_db,vh_p90_db,vv_mean_db,vv_median_db,vv_p90_db,vv_vh_ratio_mean_db,vv_vh_ratio_mean_lin,week_start,.geo
0,0,mudon,,,,,,,,,2015-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,mudon,,,,,,,,,2015-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,mudon,,,,,,,,,2015-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1,mudon,-20.736530212101872,-22.12309167558846,-13.364748401619499,-13.39158427016737,-14.123658673990086,-7.132350348683158,7.344945941934429,7.289420362753702,2015-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,mudon,,,,,,,,,2015-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,mudon,,,,,,,,,2015-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1,mudon,-20.891157967800588,-22.130695473302193,-14.125625340323124,-13.324760825231946,-14.37379450497138,-6.628799509827099,7.566397142568658,7.7059162989141985,2015-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,mudon,,,,,,,,,2015-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,mudon,,,,,,,,,2015-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,mudon,,,,,,,,,2015-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,mudon,,,,,,,,,2015-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,mudon,,,,,,,,,2015-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,mudon,,,,,,,,,2015-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,mudon,,,,,,,,,2015-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,mudon,,,,,,,,,2015-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,mudon,,,,,,,,,2015-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,mudon,,,,,,,,,2015-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,mudon,,,,,,,,,2015-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,mudon,,,,,,,,,2015-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,mudon,,,,,,,,,2015-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,mudon,,,,,,,,,2015-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,mudon,,,,,,,,,2015-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,mudon,,,,,,,,,2015-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,mudon,,,,,,,,,2015-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,mudon,,,,,,,,,2015-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,mudon,,,,,,,,,2015-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,mudon,,,,,,,,,2015-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,mudon,,,,,,,,,2015-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,mudon,,,,,,,,,2015-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,mudon,,,,,,,,,2015-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,mudon,,,,,,,,,2015-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,mudon,,,,,,,,,2015-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1,mudon,-22.109833725901325,-23.380474182123116,-12.633749521521688,-13.489698847782423,-14.878489771472191,-5.630233394525252,8.620134878118899,15.17475531765274,2015-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,mudon,,,,,,,,,2015-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,mudon,,,,,,,,,2015-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,mudon,,,,,,,,,2015-11-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,mudon,,,,,,,,,2015-11-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,mudon,,,,,,,,,2015-12-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,mudon,,,,,,,,,2015-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,mudon,,,,,,,,,2015-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,mudon,,,,,,,,,2015-12-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,mudon,,,,,,,,,2016-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,mudon,,,,,,,,,2016-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0,mudon,,,,,,,,,2016-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0,mudon,,,,,,,,,2016-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0,mudon,,,,,,,,,2016-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0,mudon,,,,,,,,,2016-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,1,mudon,-21.59482687739894,-22.624608594889843,-12.876330585296508,-13.699529204757805,-14.621954800001083,-6.621662365876895,7.895297672640849,11.487821295454815,2016-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0,mudon,,,,,,,,,2016-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0,mudon,,,,,,,,,2016-02-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0,mudon,,,,,,,,,2016-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0,mudon,,,,,,,,,2016-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0,mudon,,,,,,,,,2016-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0,mudon,,,,,,,,,2016-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0,mudon,,,,,,,,,2016-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0,mudon,,,,,,,,,2016-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0,mudon,,,,,,,,,2016-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0,mudon,,,,,,,,,2016-04-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0,mudon,,,,,,,,,2016-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0,mudon,,,,,,,,,2016-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0,mudon,,,,,,,,,2016-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0,mudon,,,,,,,,,2016-05-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,1,mudon,-21.232860380480755,-21.873004977326854,-12.132228856836141,-13.118708217219885,-14.124418644311262,-5.6189720507096945,8.114152163260817,13.361669224135149,2016-05-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0,mudon,,,,,,,,,2016-06-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0,mudon,,,,,,,,,2016-06-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0,mudon,,,,,,,,,2016-06-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0,mudon,,,,,,,,,2016-06-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0,mudon,,,,,,,,,2016-07-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0,mudon,,,,,,,,,2016-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0,mudon,,,,,,,,,2016-07-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0,mudon,,,,,,,,,2016-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0,mudon,,,,,,,,,2016-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0,mudon,,,,,,,,,2016-08-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0,mudon,,,,,,,,,2016-08-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,1,mudon,-20.439981195296106,-21.376135640939765,-11.876798460444736,-12.900522225865208,-13.876686989150793,-5.627560768977488,7.539458969430996,9.728963748877348,2016-08-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0,mudon,,,,,,,,,2016-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,0,mudon,,,,,,,,,2016-09-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,0,mudon,,,,,,,,,2016-09-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0,mudon,,,,,,,,,2016-09-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,0,mudon,,,,,,,,,2016-09-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,0,mudon,,,,,,,,,2016-10-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,0,mudon,,,,,,,,,2016-10-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,0,mudon,,,,,,,,,2016-10-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,0,mudon,,,,,,,,,2016-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,0,mudon,,,,,,,,,2016-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,0,mudon,,,,,,,,,2016-11-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2,mudon,-20.428673415770525,-21.369853694369965,-12.124851979809673,-12.529894413745533,-13.36880947821544,-5.371971969272241,7.898779002024966,10.056795728709096,2016-11-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,0,mudon,,,,,,,,,2016-11-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2,mudon,-20.63438918303937,-21.62680943675366,-12.12829123541421,-12.74727407816878,-13.628735975082376,-5.624695923710148,7.887115104870646,11.115995181981363,2016-11-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,0,mudon,,,,,,,,,2016-12-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,0,mudon,,,,,,,,,2016-12-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,0,mudon,,,,,,,,,2016-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2,mudon,-20.418872453497862,-21.37453069303701,-11.880544651600722,-12.435273036713717,-13.126430137337223,-5.134648823852646,7.983599416784384,10.635983154302638,2016-12-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,0,mudon,,,,,,,,,2017-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,0,mudon,,,,,,,,,2017-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2,mudon,-20.482417872013738,-21.381065797623684,-11.87605386861758,-12.522411929831721,-13.37782804834941,-5.373661725660885,7.960005942182076,11.155629686524302,2017-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,0,mudon,,,,,,,,,2017-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,0,mudon,,,,,,,,,2017-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,2,mudon,-20.14688847907834,-20.874472541919843,-11.618950415744358,-12.327530756819428,-13.12536817189278,-5.13156268516638,7.8193577222589115,11.204156723014723,2017-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,0,mudon,,,,,,,,,2017-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,2,mudon,-20.15792118987378,-20.87917523656645,-11.62284244281114,-12.121919764192729,-12.87139434736555,-4.876752492204247,8.036001425681123,11.033580292457561,2017-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,1,mudon,-18.218797963262613,-18.622465505612876,-10.37867014734024,-10.231516729220754,-10.376753641312513,-3.875145808090222,7.987281234041885,9.467325428286324,2017-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,3,mudon,-19.787023454782357,-20.618679681355015,-11.882372760679358,-11.936420637914965,-12.436244530141805,-5.560339134459235,7.850602816867566,7.913486976004868,2017-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,0,mudon,,,,,,,,,2017-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,2,mudon,-19.77075132989801,-20.379997841540696,-11.621086764065842,-12.02382545935965,-12.563608911738237,-5.561515036101111,7.7469258705384645,7.642811766899627,2017-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,1,mudon,-19.99872299276242,-20.629020590283698,-11.367650345919388,-12.07386899261182,-12.87251575381469,-4.864853256251871,7.924854000150847,11.27756112661092,2017-03-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,1,mudon,-19.66168654373513,-20.377245334214603,-11.132751257702651,-12.025801631089317,-12.62568055656987,-5.129422192458145,7.6358849126457695,10.058774949008438,2017-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,2,mudon,-19.79533707208232,-20.371059932012844,-11.884451642264214,-12.237696087120856,-12.938392201762378,-5.815238344927948,7.557640984961438,7.413787733763096,2017-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,0,mudon,,,,,,,,,2017-04-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
