system:index,n_obs,region,vh_mean_db,vh_median_db,vh_p90_db,vv_mean_db,vv_median_db,vv_p90_db,vv_vh_ratio_mean_db,vv_vh_ratio_mean_lin,week_start,.geo
0,0,palm_jumeirah,,,,,,,,,2015-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,palm_jumeirah,,,,,,,,,2015-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,palm_jumeirah,,,,,,,,,2015-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1,palm_jumeirah,-19.899760826123693,-21.87750711543455,-11.37711164670645,-14.23525340792918,-16.376973621993976,-4.130745193114203,5.664507418194988,6.0888516817409455,2015-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,palm_jumeirah,,,,,,,,,2015-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,palm_jumeirah,,,,,,,,,2015-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1,palm_jumeirah,-19.56917890203492,-21.626949542069795,-10.87521565961993,-14.116424550733777,-16.378059879915725,-3.624162135806164,5.452754351301742,6.0202614483218655,2015-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,palm_jumeirah,,,,,,,,,2015-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,palm_jumeirah,,,,,,,,,2015-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,palm_jumeirah,,,,,,,,,2015-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,palm_jumeirah,,,,,,,,,2015-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,palm_jumeirah,,,,,,,,,2015-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,palm_jumeirah,,,,,,,,,2015-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,palm_jumeirah,,,,,,,,,2015-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,palm_jumeirah,,,,,,,,,2015-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,palm_jumeirah,,,,,,,,,2015-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,palm_jumeirah,,,,,,,,,2015-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,palm_jumeirah,,,,,,,,,2015-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,palm_jumeirah,,,,,,,,,2015-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,palm_jumeirah,,,,,,,,,2015-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,palm_jumeirah,,,,,,,,,2015-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,palm_jumeirah,,,,,,,,,2015-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,palm_jumeirah,,,,,,,,,2015-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,palm_jumeirah,,,,,,,,,2015-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,palm_jumeirah,,,,,,,,,2015-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,palm_jumeirah,,,,,,,,,2015-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,palm_jumeirah,,,,,,,,,2015-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,palm_jumeirah,,,,,,,,,2015-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,palm_jumeirah,,,,,,,,,2015-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,palm_jumeirah,,,,,,,,,2015-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,palm_jumeirah,,,,,,,,,2015-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,palm_jumeirah,,,,,,,,,2015-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1,palm_jumeirah,-21.089655762265917,-22.753617708866823,-10.753865816679259,-13.630228227916016,-16.127588162683164,-3.624575065265435,7.459427534349472,11.033079274526116,2015-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,palm_jumeirah,,,,,,,,,2015-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,palm_jumeirah,,,,,,,,,2015-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,palm_jumeirah,,,,,,,,,2015-11-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,palm_jumeirah,,,,,,,,,2015-11-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,palm_jumeirah,,,,,,,,,2015-12-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,palm_jumeirah,,,,,,,,,2015-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,palm_jumeirah,,,,,,,,,2015-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,palm_jumeirah,,,,,,,,,2015-12-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,palm_jumeirah,,,,,,,,,2016-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,palm_jumeirah,,,,,,,,,2016-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0,palm_jumeirah,,,,,,,,,2016-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0,palm_jumeirah,,,,,,,,,2016-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0,palm_jumeirah,,,,,,,,,2016-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0,palm_jumeirah,,,,,,,,,2016-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,1,palm_jumeirah,-21.090584007908127,-22.754106809240565,-11.256005050717533,-14.661323185371593,-16.877566520821293,-4.633294608911291,6.42926082253628,7.785733225585645,2016-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0,palm_jumeirah,,,,,,,,,2016-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0,palm_jumeirah,,,,,,,,,2016-02-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0,palm_jumeirah,,,,,,,,,2016-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0,palm_jumeirah,,,,,,,,,2016-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0,palm_jumeirah,,,,,,,,,2016-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0,palm_jumeirah,,,,,,,,,2016-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0,palm_jumeirah,,,,,,,,,2016-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0,palm_jumeirah,,,,,,,,,2016-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0,palm_jumeirah,,,,,,,,,2016-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0,palm_jumeirah,,,,,,,,,2016-04-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0,palm_jumeirah,,,,,,,,,2016-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0,palm_jumeirah,,,,,,,,,2016-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0,palm_jumeirah,,,,,,,,,2016-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0,palm_jumeirah,,,,,,,,,2016-05-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,1,palm_jumeirah,-21.37036450103598,-22.75382279427346,-11.253735777377019,-14.479305637678117,-16.87603517601831,-4.37681329125434,6.891058863357342,10.261149099752476,2016-05-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0,palm_jumeirah,,,,,,,,,2016-06-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0,palm_jumeirah,,,,,,,,,2016-06-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0,palm_jumeirah,,,,,,,,,2016-06-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0,palm_jumeirah,,,,,,,,,2016-06-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0,palm_jumeirah,,,,,,,,,2016-07-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0,palm_jumeirah,,,,,,,,,2016-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0,palm_jumeirah,,,,,,,,,2016-07-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0,palm_jumeirah,,,,,,,,,2016-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0,palm_jumeirah,,,,,,,,,2016-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0,palm_jumeirah,,,,,,,,,2016-08-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0,palm_jumeirah,,,,,,,,,2016-08-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,1,palm_jumeirah,-20.799528909517033,-22.75441959164991,-11.251705473546858,-14.162147129367554,-16.625134128257617,-4.376338430690204,6.637381780149599,8.038157472768388,2016-08-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0,palm_jumeirah,,,,,,,,,2016-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,0,palm_jumeirah,,,,,,,,,2016-09-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,0,palm_jumeirah,,,,,,,,,2016-09-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0,palm_jumeirah,,,,,,,,,2016-09-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,0,palm_jumeirah,,,,,,,,,2016-09-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,0,palm_jumeirah,,,,,,,,,2016-10-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,0,palm_jumeirah,,,,,,,,,2016-10-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,0,palm_jumeirah,,,,,,,,,2016-10-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,0,palm_jumeirah,,,,,,,,,2016-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,0,palm_jumeirah,,,,,,,,,2016-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,0,palm_jumeirah,,,,,,,,,2016-11-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2,palm_jumeirah,-20.995050797536596,-22.7539489913526,-11.258334041969821,-14.357605470994619,-16.626709784498896,-4.623224171586656,6.6374453265415,7.424542729520796,2016-11-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,0,palm_jumeirah,,,,,,,,,2016-11-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2,palm_jumeirah,-20.889202479945084,-22.258192543043926,-11.749926946110428,-14.420855236411668,-16.759886646380608,-4.753610079153601,6.4683472435331275,7.838303932662804,2016-11-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,0,palm_jumeirah,,,,,,,,,2016-12-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,0,palm_jumeirah,,,,,,,,,2016-12-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,0,palm_jumeirah,,,,,,,,,2016-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2,palm_jumeirah,-20.849239601700223,-22.255894573503287,-11.248039835920057,-14.642238516384369,-16.755698147902027,-4.749151957286843,6.207001085315782,7.763308496772756,2016-12-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,0,palm_jumeirah,,,,,,,,,2017-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,0,palm_jumeirah,,,,,,,,,2017-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
