system:index,n_obs,region,vh_mean_db,vh_median_db,vh_p90_db,vv_mean_db,vv_median_db,vv_p90_db,vv_vh_ratio_mean_db,vv_vh_ratio_mean_lin,week_start,.geo
0,0,silicon_oasis,,,,,,,,,2015-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,silicon_oasis,,,,,,,,,2015-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,silicon_oasis,,,,,,,,,2015-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1,silicon_oasis,-16.588110744465933,-17.626247398486125,-8.629360575352074,-10.102481661304921,-11.375947494155563,-2.624669076521897,6.485629083160603,6.84752372386621,2015-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,silicon_oasis,,,,,,,,,2015-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,silicon_oasis,,,,,,,,,2015-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1,silicon_oasis,-16.678959913983864,-17.875328060965703,-8.630879342975241,-9.965113909906705,-11.124861707199072,-2.130303756788807,6.71384600407714,7.286601545162023,2015-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,silicon_oasis,,,,,,,,,2015-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,silicon_oasis,,,,,,,,,2015-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,silicon_oasis,,,,,,,,,2015-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,silicon_oasis,,,,,,,,,2015-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,silicon_oasis,,,,,,,,,2015-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,silicon_oasis,,,,,,,,,2015-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,silicon_oasis,,,,,,,,,2015-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,silicon_oasis,,,,,,,,,2015-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,silicon_oasis,,,,,,,,,2015-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,silicon_oasis,,,,,,,,,2015-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,silicon_oasis,,,,,,,,,2015-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,silicon_oasis,,,,,,,,,2015-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,silicon_oasis,,,,,,,,,2015-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,silicon_oasis,,,,,,,,,2015-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,silicon_oasis,,,,,,,,,2015-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,silicon_oasis,,,,,,,,,2015-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,silicon_oasis,,,,,,,,,2015-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,silicon_oasis,,,,,,,,,2015-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,silicon_oasis,,,,,,,,,2015-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,silicon_oasis,,,,,,,,,2015-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,silicon_oasis,,,,,,,,,2015-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,silicon_oasis,,,,,,,,,2015-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,silicon_oasis,,,,,,,,,2015-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,silicon_oasis,,,,,,,,,2015-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,silicon_oasis,,,,,,,,,2015-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1,silicon_oasis,-17.450721324260854,-18.24801333955945,-8.25325401306801,-10.025549933290412,-11.254215976369013,-1.7562600965477528,7.425171390970516,10.80675879627073,2015-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,silicon_oasis,,,,,,,,,2015-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,silicon_oasis,,,,,,,,,2015-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
