system:index,n_obs,region,vh_mean_db,vh_median_db,vh_p90_db,vv_mean_db,vv_median_db,vv_p90_db,vv_vh_ratio_mean_db,vv_vh_ratio_mean_lin,week_start,.geo
0,0,the_greens,,,,,,,,,2015-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,the_greens,,,,,,,,,2015-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,the_greens,,,,,,,,,2015-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1,the_greens,-8.763189458266732,-9.122439273982666,-1.6090386035616804,-3.1675911962598167,-3.8717895476256845,4.906004887520845,5.595598262006935,5.781810202400479,2015-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,the_greens,,,,,,,,,2015-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,the_greens,,,,,,,,,2015-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1,the_greens,-9.225711568455296,-9.625237680790269,-2.128301562772669,-3.8366983208727437,-4.370232282796118,3.369267788091017,5.38901324758254,4.788441537464002,2015-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,the_greens,,,,,,,,,2015-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,the_greens,,,,,,,,,2015-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,the_greens,,,,,,,,,2015-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,the_greens,,,,,,,,,2015-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,the_greens,,,,,,,,,2015-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,the_greens,,,,,,,,,2015-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,the_greens,,,,,,,,,2015-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,the_greens,,,,,,,,,2015-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,the_greens,,,,,,,,,2015-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,the_greens,,,,,,,,,2015-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,the_greens,,,,,,,,,2015-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,the_greens,,,,,,,,,2015-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,the_greens,,,,,,,,,2015-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,the_greens,,,,,,,,,2015-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,the_greens,,,,,,,,,2015-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,the_greens,,,,,,,,,2015-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,the_greens,,,,,,,,,2015-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,the_greens,,,,,,,,,2015-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,the_greens,,,,,,,,,2015-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,the_greens,,,,,,,,,2015-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,the_greens,,,,,,,,,2015-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,the_greens,,,,,,,,,2015-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,the_greens,,,,,,,,,2015-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,the_greens,,,,,,,,,2015-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,the_greens,,,,,,,,,2015-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1,the_greens,-9.181125285911738,-9.36233095133883,-1.8834813871979879,-3.816085083190899,-4.123109916385151,3.357001417554944,5.365040202720917,4.7664124032035975,2015-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,the_greens,,,,,,,,,2015-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,the_greens,,,,,,,,,2015-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,the_greens,,,,,,,,,2015-11-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,the_greens,,,,,,,,,2015-11-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,the_greens,,,,,,,,,2015-12-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,the_greens,,,,,,,,,2015-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,the_greens,,,,,,,,,2015-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,the_greens,,,,,,,,,2015-12-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,the_greens,,,,,,,,,2016-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,the_greens,,,,,,,,,2016-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0,the_greens,,,,,,,,,2016-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0,the_greens,,,,,,,,,2016-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0,the_greens,,,,,,,,,2016-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0,the_greens,,,,,,,,,2016-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,1,the_greens,-9.336591851312017,-9.635816561714227,-2.1140270821869507,-4.523731168642494,-4.860609236844967,2.8900787582238983,4.812860682669559,4.330406255553346,2016-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0,the_greens,,,,,,,,,2016-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0,the_greens,,,,,,,,,2016-02-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0,the_greens,,,,,,,,,2016-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0,the_greens,,,,,,,,,2016-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0,the_greens,,,,,,,,,2016-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0,the_greens,,,,,,,,,2016-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0,the_greens,,,,,,,,,2016-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0,the_greens,,,,,,,,,2016-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0,the_greens,,,,,,,,,2016-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0,the_greens,,,,,,,,,2016-04-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0,the_greens,,,,,,,,,2016-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0,the_greens,,,,,,,,,2016-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0,the_greens,,,,,,,,,2016-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0,the_greens,,,,,,,,,2016-05-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,1,the_greens,-9.185189721827665,-9.376559374597225,-1.8797124072775326,-4.42795649479037,-4.885037888199668,3.1184962448925337,4.757233227037316,4.178958019128508,2016-05-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0,the_greens,,,,,,,,,2016-06-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0,the_greens,,,,,,,,,2016-06-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0,the_greens,,,,,,,,,2016-06-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0,the_greens,,,,,,,,,2016-06-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0,the_greens,,,,,,,,,2016-07-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0,the_greens,,,,,,,,,2016-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0,the_greens,,,,,,,,,2016-07-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0,the_greens,,,,,,,,,2016-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0,the_greens,,,,,,,,,2016-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0,the_greens,,,,,,,,,2016-08-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0,the_greens,,,,,,,,,2016-08-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,1,the_greens,-9.134826357779732,-9.363647230192974,-2.117098792347156,-4.517296938020853,-4.875179511711774,3.1310463241153546,4.617529419758914,3.9415078628388565,2016-08-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0,the_greens,,,,,,,,,2016-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,0,the_greens,,,,,,,,,2016-09-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,0,the_greens,,,,,,,,,2016-09-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0,the_greens,,,,,,,,,2016-09-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,0,the_greens,,,,,,,,,2016-09-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,0,the_greens,,,,,,,,,2016-10-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,0,the_greens,,,,,,,,,2016-10-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,0,the_greens,,,,,,,,,2016-10-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,0,the_greens,,,,,,,,,2016-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,0,the_greens,,,,,,,,,2016-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,0,the_greens,,,,,,,,,2016-11-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2,the_greens,-9.254397831590639,-9.606012921573896,-2.12381120137409,-4.541976753697625,-5.127419908285105,3.1221426914708124,4.712421077893019,4.148992809139683,2016-11-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,0,the_greens,,,,,,,,,2016-11-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2,the_greens,-9.418288750064347,-9.623094468481607,-2.3749001938567424,-4.730306087970977,-5.125859278882777,2.86905285466202,4.687982662093324,4.136454562252831,2016-11-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,0,the_greens,,,,,,,,,2016-12-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,0,the_greens,,,,,,,,,2016-12-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,0,the_greens,,,,,,,,,2016-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2,the_greens,-9.411601019399534,-9.88759537285688,-2.368310500645672,-4.5685720800033565,-5.127656410264905,3.1210606618084356,4.84302893939619,4.183390581921633,2016-12-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,0,the_greens,,,,,,,,,2017-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,0,the_greens,,,,,,,,,2017-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2,the_greens,-9.37450818308047,-9.64353273672017,-2.1064928165752828,-4.529206304431427,-4.8771440332353775,2.8703374951584597,4.8453018786490345,4.1393352937270524,2017-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,0,the_greens,,,,,,,,,2017-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
