region,model,horizon,best_mae_mean
Business Bay,ARIMA,2,2.0371016337729486
Business Bay,ARIMA,6,5.0223824556945145
Business Bay,ARIMA,10,6.411193597219999
Business Bay,ARIMA,14,7.1529057810010555
Business Bay,ARIMA,18,7.788986681550918
Business Bay,ARIMA,22,8.20961620223633
Business Bay,ARIMA,26,8.433312867234376
Business Bay,ARIMA,30,7.3546626109624595
Business Bay,ARIMA,34,8.545662136204859
DAMAC HILLS 2,ARIMA,2,0.08225286382698452
DAMAC HILLS 2,ARIMA,6,0.3553057645105602
DAMAC HILLS 2,ARIMA,10,0.5566470474622371
DAMAC HILLS 2,ARIMA,14,0.7014313368675662
DAMAC HILLS 2,ARIMA,18,0.8312384783690924
DAMAC HILLS 2,ARIMA,22,0.8822909926368477
DAMAC HILLS 2,ARIMA,26,1.1713043785498107
DAMAC HILLS 2,ARIMA,30,1.574102624583041
DAMAC HILLS 2,ARIMA,34,1.016335329013057
DAMAC HILLS,ARIMA,2,0.7273729629111141
DAMAC HILLS,ARIMA,6,2.7789935730737723
DAMAC HILLS,ARIMA,10,4.134304717927171
DAMAC HILLS,ARIMA,14,4.743755653713447
DAMAC HILLS,ARIMA,18,4.693361583647809
DAMAC HILLS,ARIMA,22,4.494395578778033
DAMAC HILLS,ARIMA,26,4.399531524795917
DAMAC HILLS,ARIMA,30,4.672784834471631
DAMAC HILLS,ARIMA,34,5.150865280307147
TOWN SQUARE,ARIMA,2,0.6463686141241767
TOWN SQUARE,ARIMA,6,2.3625640493547886
TOWN SQUARE,ARIMA,10,3.350316187996931
TOWN SQUARE,ARIMA,14,3.5564050211156997
TOWN SQUARE,ARIMA,18,3.5240041926060135
TOWN SQUARE,ARIMA,22,3.3706841293634575
TOWN SQUARE,ARIMA,26,3.5312377195029585
TOWN SQUARE,ARIMA,30,3.684078200553374
TOWN SQUARE,ARIMA,34,4.434076039685272
DownTown Dubai,ARIMA,2,1.0098291406701476
DownTown Dubai,ARIMA,6,3.1579124021505494
DownTown Dubai,ARIMA,10,3.9231995005411107
DownTown Dubai,ARIMA,14,4.090076358953489
DownTown Dubai,ARIMA,18,4.206431269794549
DownTown Dubai,ARIMA,22,4.434879159592192
DownTown Dubai,ARIMA,26,4.504468763213618
DownTown Dubai,ARIMA,30,4.797358628594305
DownTown Dubai,ARIMA,34,5.50951437112813
Dubai Creek Harbour,ARIMA,2,0.25547224967005205
Dubai Creek Harbour,ARIMA,6,0.9970872971997347
Dubai Creek Harbour,ARIMA,10,1.4891478235178588
Dubai Creek Harbour,ARIMA,14,1.7242176134436433
Dubai Creek Harbour,ARIMA,18,1.799707108797339
Dubai Creek Harbour,ARIMA,22,1.7697776460006513
Dubai Creek Harbour,ARIMA,26,1.843671117157537
Dubai Creek Harbour,ARIMA,30,1.6462099730511517
Dubai Creek Harbour,ARIMA,34,2.0180287975782303
Dubai Marina,ARIMA,2,1.1530525240024503
Dubai Marina,ARIMA,6,3.4339261186814114
Dubai Marina,ARIMA,10,3.65190042449665
Dubai Marina,ARIMA,14,4.403193215247195
Dubai Marina,ARIMA,18,5.214828913971796
Dubai Marina,ARIMA,22,5.768466393410054
Dubai Marina,ARIMA,26,6.098663116660555
Dubai Marina,ARIMA,30,6.369027377786894
Dubai Marina,ARIMA,34,6.996150846576814
Dubai South Residential District,ARIMA,2,0.13702469750185592
Dubai South Residential District,ARIMA,6,0.5087097052974215
Dubai South Residential District,ARIMA,10,0.8157029874916563
Dubai South Residential District,ARIMA,14,1.0868477872364968
Dubai South Residential District,ARIMA,18,1.4231660884629738
Dubai South Residential District,ARIMA,22,1.7348971682334438
Dubai South Residential District,ARIMA,26,2.0418200143866456
Dubai South Residential District,ARIMA,30,2.250767503236866
Dubai South Residential District,ARIMA,34,2.593881691787369
Dubai Sports City,ARIMA,2,0.3409802947388094
Dubai Sports City,ARIMA,6,1.2120548959782762
Dubai Sports City,ARIMA,10,1.5439594481296892
Dubai Sports City,ARIMA,14,1.6798760777700168
Dubai Sports City,ARIMA,18,1.8730970352232537
Dubai Sports City,ARIMA,22,2.007291191126195
Dubai Sports City,ARIMA,26,2.2716303702528626
Dubai Sports City,ARIMA,30,2.6231533134612626
Dubai Sports City,ARIMA,34,2.4922780685141013
Al Furjan,ARIMA,2,1.2687643849731076
Al Furjan,ARIMA,6,3.453235085934149
Al Furjan,ARIMA,10,3.832185817959027
Al Furjan,ARIMA,14,4.6956256033675405
Al Furjan,ARIMA,18,5.199576265278383
Al Furjan,ARIMA,22,5.370301403050172
Al Furjan,ARIMA,26,5.58096413342446
Al Furjan,ARIMA,30,5.534622155269512
Al Furjan,ARIMA,34,6.331194542514349
International City Phase 1,ARIMA,2,0.28488384651110193
International City Phase 1,ARIMA,6,0.9327886309291171
International City Phase 1,ARIMA,10,1.2961014496432344
International City Phase 1,ARIMA,14,1.4906380317221541
International City Phase 1,ARIMA,18,1.768350748267399
International City Phase 1,ARIMA,22,1.8812410094528387
International City Phase 1,ARIMA,26,1.821426932275127
International City Phase 1,ARIMA,30,2.001500372199706
International City Phase 1,ARIMA,34,2.3035372281318134
Jumeirah Lakes Towers,ARIMA,2,0.5769880973589756
