tag,region,model,horizon,mae_mean,mae_std
P,Business Bay,ARIMA,2,2.0371016337729486,0.4838279022257053
P,Business Bay,ARIMA,6,5.0223824556945145,0.8616381974071365
P,Business Bay,ARIMA,10,6.411193597219999,1.065889225039166
P,Business Bay,ARIMA,14,7.1529057810010555,1.928387985840111
P,Business Bay,ARIMA,18,7.788986681550918,2.3528508880387635
P,Business Bay,ARIMA,22,8.20961620223633,2.1276756343882
P,Business Bay,ARIMA,26,8.433312867234376,1.864825547502658
P,Business Bay,ARIMA,30,7.3546626109624595,2.578579497669108
P,Business Bay,ARIMA,34,8.545662136204859,1.439925624090215
P,DAMAC HILLS 2,ARIMA,2,0.08225286382698452,0.07840665321405903
P,DAMAC HILLS 2,ARIMA,6,0.3553057645105602,0.3291556732760754
P,DAMAC HILLS 2,ARIMA,10,0.5566470474622371,0.5148668373466394
P,DAMAC HILLS 2,ARIMA,14,0.7014313368675662,0.6728070002586702
P,DAMAC HILLS 2,ARIMA,18,0.8312384783690924,0.7592815745796663
P,DAMAC HILLS 2,ARIMA,22,0.8822909926368477,0.8207354843901749
P,DAMAC HILLS 2,ARIMA,26,1.1713043785498107,0.9283096323836376
P,DAMAC HILLS 2,ARIMA,30,1.574102624583041,1.3486809134180529
P,DAMAC HILLS 2,ARIMA,34,1.016335329013057,1.0247160731281606
P,DAMAC HILLS,ARIMA,2,0.7273729629111141,0.21263598174689513
P,DAMAC HILLS,ARIMA,6,2.7789935730737723,0.7868093874994505
P,DAMAC HILLS,ARIMA,10,4.134304717927171,1.3665748202023122
P,DAMAC HILLS,ARIMA,14,4.743755653713447,1.563747644058418
P,DAMAC HILLS,ARIMA,18,4.693361583647809,1.6535267957902158
P,DAMAC HILLS,ARIMA,22,4.494395578778033,2.0392621444984003
P,DAMAC HILLS,ARIMA,26,4.399531524795917,2.062702439359963
P,DAMAC HILLS,ARIMA,30,4.672784834471631,1.7598680331624839
P,DAMAC HILLS,ARIMA,34,5.150865280307147,1.4129027526293239
P,TOWN SQUARE,ARIMA,2,0.6463686141241767,0.20541528171719947
P,TOWN SQUARE,ARIMA,6,2.3625640493547886,1.0008102282964144
P,TOWN SQUARE,ARIMA,10,3.350316187996931,1.5476084370467784
P,TOWN SQUARE,ARIMA,14,3.5564050211156997,1.7480583505983955
P,TOWN SQUARE,ARIMA,18,3.5240041926060135,1.7460720056108263
P,TOWN SQUARE,ARIMA,22,3.3706841293634575,1.8268615603710756
P,TOWN SQUARE,ARIMA,26,3.5312377195029585,1.6913357193621135
P,TOWN SQUARE,ARIMA,30,3.684078200553374,1.7893117082777121
P,TOWN SQUARE,ARIMA,34,4.434076039685272,1.9916355390283476
P,DownTown Dubai,ARIMA,2,1.0098291406701476,0.33396870356383096
P,DownTown Dubai,ARIMA,6,3.1579124021505494,1.1720434178135286
P,DownTown Dubai,ARIMA,10,3.9231995005411107,1.6863825419432763
P,DownTown Dubai,ARIMA,14,4.090076358953489,1.8361804305013625
P,DownTown Dubai,ARIMA,18,4.206431269794549,1.7123200530307334
P,DownTown Dubai,ARIMA,22,4.434879159592192,1.5440494844727743
P,DownTown Dubai,ARIMA,26,4.504468763213618,1.6980530763833879
P,DownTown Dubai,ARIMA,30,4.797358628594305,1.9246253725575024
P,DownTown Dubai,ARIMA,34,5.50951437112813,1.594476903505374
P,Dubai Creek Harbour,ARIMA,2,0.25547224967005205,0.20106070163848205
P,Dubai Creek Harbour,ARIMA,6,0.9970872971997347,0.9143126194928983
P,Dubai Creek Harbour,ARIMA,10,1.4891478235178588,1.454872489913866
P,Dubai Creek Harbour,ARIMA,14,1.7242176134436433,1.6180312338441198
P,Dubai Creek Harbour,ARIMA,18,1.799707108797339,1.564160726365641
P,Dubai Creek Harbour,ARIMA,22,1.7697776460006513,1.3410636009618278
P,Dubai Creek Harbour,ARIMA,26,1.843671117157537,1.162592409997075
P,Dubai Creek Harbour,ARIMA,30,1.6462099730511517,1.1735866369210162
P,Dubai Creek Harbour,ARIMA,34,2.0180287975782303,1.0922898446576776
P,Dubai Marina,ARIMA,2,1.1530525240024503,0.42702843627401754
P,Dubai Marina,ARIMA,6,3.4339261186814114,1.5768330983344943
P,Dubai Marina,ARIMA,10,3.65190042449665,1.2702101937639911
P,Dubai Marina,ARIMA,14,4.403193215247195,1.8222328445540306
P,Dubai Marina,ARIMA,18,5.214828913971796,2.2449925099114294
P,Dubai Marina,ARIMA,22,5.768466393410054,2.4153000596038137
P,Dubai Marina,ARIMA,26,6.098663116660555,2.7726492761228894
P,Dubai Marina,ARIMA,30,6.369027377786894,3.1576942502912893
P,Dubai Marina,ARIMA,34,6.996150846576814,3.0114363012914254
P,Dubai South Residential District,ARIMA,2,0.13702469750185592,0.0816714426930869
P,Dubai South Residential District,ARIMA,6,0.5087097052974215,0.29877452634977103
P,Dubai South Residential District,ARIMA,10,0.8157029874916563,0.48204781439864514
P,Dubai South Residential District,ARIMA,14,1.0868477872364968,0.570688578745078
P,Dubai South Residential District,ARIMA,18,1.4231660884629738,0.7007594588516806
P,Dubai South Residential District,ARIMA,22,1.7348971682334438,0.8813475618866345
P,Dubai South Residential District,ARIMA,26,2.0418200143866456,1.1159649381154946
P,Dubai South Residential District,ARIMA,30,2.250767503236866,1.3920655307994925
P,Dubai South Residential District,ARIMA,34,2.593881691787369,1.665220992634725
P,Dubai Sports City,ARIMA,2,0.3409802947388094,0.18394457025652422
P,Dubai Sports City,ARIMA,6,1.2120548959782762,0.7786671838521745
P,Dubai Sports City,ARIMA,10,1.5439594481296892,1.0794262984649172
P,Dubai Sports City,ARIMA,14,1.6798760777700168,1.0724325999683257
P,Dubai Sports City,ARIMA,18,1.8730970352232537,1.0282494295757056
P,Dubai Sports City,ARIMA,22,2.007291191126195,1.1333556276783812
P,Dubai Sports City,ARIMA,26,2.2716303702528626,1.201733407192153
P,Dubai Sports City,ARIMA,30,2.6231533134612626,1.421351111117119
P,Dubai Sports City,ARIMA,34,2.4922780685141013,1.3651022342861474
P,Al Furjan,ARIMA,2,1.2687643849731076,0.735865519499416
P,Al Furjan,ARIMA,6,3.453235085934149,2.1174489307101645
P,Al Furjan,ARIMA,10,3.832185817959027,2.00542042481619
P,Al Furjan,ARIMA,14,4.6956256033675405,2.551187815982882
P,Al Furjan,ARIMA,18,5.199576265278383,2.6191533418211255
P,Al Furjan,ARIMA,22,5.370301403050172,2.978257673977595
P,Al Furjan,ARIMA,26,5.58096413342446,2.5518945943400793
P,Al Furjan,ARIMA,30,5.534622155269512,2.5511214811345346
P,Al Furjan,ARIMA,34,6.331194542514349,3.0197635302205508
P,International City Phase 1,ARIMA,2,0.28488384651110193,0.12280290790119189
P,International City Phase 1,ARIMA,6,0.9327886309291171,0.39508464945118815
P,International City Phase 1,ARIMA,10,1.2961014496432344,0.5436737765712489
P,International City Phase 1,ARIMA,14,1.4906380317221541,0.7457145903471526
P,International City Phase 1,ARIMA,18,1.768350748267399,0.8922289015438383
P,International City Phase 1,ARIMA,22,1.8812410094528387,0.9916663552344217
P,International City Phase 1,ARIMA,26,1.821426932275127,1.1480084236903374
P,International City Phase 1,ARIMA,30,2.001500372199706,1.1727585365762678
P,International City Phase 1,ARIMA,34,2.3035372281318134,1.1554452586897823
P,Jumeirah Lakes Towers,ARIMA,2,0.5769880973589756,0.15470044035410602
P,Jumeirah Lakes Towers,ARIMA,6,1.9424160548521614,0.5504956585118638
P,Jumeirah Lakes Towers,ARIMA,10,2.2830065298371003,0.468268377200524
P,Jumeirah Lakes Towers,ARIMA,14,2.493078230756735,0.6487104133886573
P,Jumeirah Lakes Towers,ARIMA,18,2.8989947058326084,0.7076645901783579
P,Jumeirah Lakes Towers,ARIMA,22,3.395364218180986,0.9710502129170874
P,Jumeirah Lakes Towers,ARIMA,26,3.7183997741403294,1.507794077614944
P,Jumeirah Lakes Towers,ARIMA,30,4.151211515516974,1.5848948132206282
P,Jumeirah Lakes Towers,ARIMA,34,4.560094854008655,1.894075963482831
P,Jumeirah Village Circle,ARIMA,2,0.9392724672847097,0.2247713435294015
P,Jumeirah Village Circle,ARIMA,6,2.200034266439956,0.7588341293768855
P,Jumeirah Village Circle,ARIMA,10,2.4357089557076783,1.032805445331117
P,Jumeirah Village Circle,ARIMA,14,2.589674595181675,1.1685459372235711
P,Jumeirah Village Circle,ARIMA,18,2.7864470467310873,0.9942814083452866
P,Jumeirah Village Circle,ARIMA,22,2.9517023042112753,1.005666131720206
P,Jumeirah Village Circle,ARIMA,26,2.987794550443522,1.0622227353280576
P,Jumeirah Village Circle,ARIMA,30,3.071645286612767,1.3401323745601965
P,Jumeirah Village Circle,ARIMA,34,3.3286250109477558,1.5220436819338816
