region,model,horizon,best_mae_mean
Business Bay,KNN,2,4.2651540771460095
Business Bay,KNN,6,5.489965508627392
Business Bay,KNN,10,5.16005648303086
Business Bay,KNN,14,5.389769504271001
Business Bay,KNN,18,5.519601768364546
Business Bay,KNN,22,4.437250639879221
Business Bay,KNN,26,4.238851466666193
Business Bay,KNN,30,4.187901948567079
Business Bay,KNN,34,4.341876006710296
DAMAC HILLS 2,KNN,2,0.5743619413849567
DAMAC HILLS 2,KNN,6,0.7257607523709018
DAMAC HILLS 2,KNN,10,0.823186552977338
DAMAC HILLS 2,KNN,14,0.7995029957451723
DAMAC HILLS 2,KNN,18,0.726680366551234
DAMAC HILLS 2,KNN,22,0.7889704293993434
DAMAC HILLS 2,KNN,26,0.8332862836820475
DAMAC HILLS 2,KNN,30,0.8114995634502298
DAMAC HILLS 2,KNN,34,0.8435002317102414
DAMAC HILLS,KNN,2,3.2713936186484434
DAMAC HILLS,KNN,6,4.6927955578641845
DAMAC HILLS,KNN,10,4.355283007336004
DAMAC HILLS,KNN,14,3.90665175655407
DAMAC HILLS,KNN,18,3.7613817111770764
DAMAC HILLS,KNN,22,3.773154280384383
DAMAC HILLS,KNN,26,3.402599186249624
DAMAC HILLS,KNN,30,3.2148069142358864
DAMAC HILLS,KNN,34,3.25373959274536
TOWN SQUARE,KNN,2,2.459935924427484
TOWN SQUARE,KNN,6,3.21178162919051
TOWN SQUARE,KNN,10,3.5216720970964372
TOWN SQUARE,KNN,14,3.208467925622841
TOWN SQUARE,KNN,18,2.6075837538573374
TOWN SQUARE,KNN,22,2.8944618613363264
TOWN SQUARE,KNN,26,2.739366661112249
TOWN SQUARE,KNN,30,2.8629724636691973
TOWN SQUARE,KNN,34,2.848423856026138
DownTown Dubai,KNN,2,3.317530055866226
DownTown Dubai,KNN,6,4.0347645435720825
DownTown Dubai,KNN,10,3.6301612179365947
DownTown Dubai,KNN,14,3.7133824729927922
DownTown Dubai,KNN,18,3.310259927421935
DownTown Dubai,KNN,22,2.989832722888313
DownTown Dubai,KNN,26,3.5166764817388825
DownTown Dubai,KNN,30,3.882201210621195
DownTown Dubai,KNN,34,3.9548593719090874
Dubai Creek Harbour,KNN,2,0.956438424987533
Dubai Creek Harbour,KNN,6,1.233763609853222
Dubai Creek Harbour,KNN,10,1.4030789903694114
Dubai Creek Harbour,KNN,14,1.3984522070131853
Dubai Creek Harbour,KNN,18,1.324521624803908
Dubai Creek Harbour,KNN,22,1.2061615919029052
Dubai Creek Harbour,KNN,26,1.1733558371855757
Dubai Creek Harbour,KNN,30,1.3165621115911375
Dubai Creek Harbour,KNN,34,1.234920814533484
Dubai Marina,KNN,2,3.9603382656829083
Dubai Marina,KNN,6,3.3875063780878785
Dubai Marina,KNN,10,3.440262567626288
Dubai Marina,KNN,14,3.7504397749451357
Dubai Marina,KNN,18,4.503064047370398
Dubai Marina,KNN,22,4.62236907832894
Dubai Marina,KNN,26,4.243076106017242
Dubai Marina,KNN,30,3.788173902403836
Dubai Marina,KNN,34,3.530171855716172
Dubai South Residential District,KNN,2,1.3888259029003032
Dubai South Residential District,KNN,6,1.5249987388022002
Dubai South Residential District,KNN,10,1.4769694106943467
Dubai South Residential District,KNN,14,1.5849893500206558
Dubai South Residential District,KNN,18,1.6698714713699292
Dubai South Residential District,KNN,22,1.6364288300446046
Dubai South Residential District,KNN,26,1.60543364624515
Dubai South Residential District,KNN,30,1.552785967346445
Dubai South Residential District,KNN,34,1.6901101484906882
Dubai Sports City,KNN,2,1.552773903925348
Dubai Sports City,KNN,6,1.7766790875541798
Dubai Sports City,KNN,10,1.8207768265782813
Dubai Sports City,KNN,14,1.7903665363840737
Dubai Sports City,KNN,18,1.904037413210267
Dubai Sports City,KNN,22,1.9098748700547978
Dubai Sports City,KNN,26,1.73028995016417
Dubai Sports City,KNN,30,1.5268489845506878
Dubai Sports City,KNN,34,1.6041080777942722
Al Furjan,KNN,2,4.374713216811886
Al Furjan,KNN,6,4.959018128440666
Al Furjan,KNN,10,4.6491306585199945
Al Furjan,KNN,14,4.2147421118773885
Al Furjan,KNN,18,4.2099455814199
Al Furjan,KNN,22,4.7287195236949175
Al Furjan,KNN,26,4.069020702008373
Al Furjan,KNN,30,4.040980374139617
Al Furjan,KNN,34,4.725819277779108
International City Phase 1,KNN,2,1.3956751825972917
International City Phase 1,KNN,6,1.8709919242089246
International City Phase 1,KNN,10,2.0185062828978766
International City Phase 1,KNN,14,1.9663276610396963
International City Phase 1,KNN,18,1.8965919899621657
International City Phase 1,KNN,22,1.8588138008653616
International City Phase 1,KNN,26,1.8581508635682034
International City Phase 1,KNN,30,1.864670766338886
International City Phase 1,KNN,34,1.8471586971361889
Jumeirah Lakes Towers,KNN,2,3.010938578312973
Jumeirah Lakes Towers,KNN,6,2.8502783537341925
Jumeirah Lakes Towers,KNN,10,2.335382256883
Jumeirah Lakes Towers,KNN,14,2.148962863184829
Jumeirah Lakes Towers,KNN,18,2.22631071968417
Jumeirah Lakes Towers,KNN,22,2.345784138131652
Jumeirah Lakes Towers,KNN,26,2.7732117659984357
Jumeirah Lakes Towers,KNN,30,2.6339960504783093
Jumeirah Lakes Towers,KNN,34,2.74090728108545
Jumeirah Village Circle,KNN,2,2.381631687691239
Jumeirah Village Circle,KNN,6,2.80548787719426
Jumeirah Village Circle,KNN,10,2.761954250233385
Jumeirah Village Circle,KNN,14,2.5864334266066704
Jumeirah Village Circle,KNN,18,2.45914783744832
Jumeirah Village Circle,KNN,22,2.5204085183859
Jumeirah Village Circle,KNN,26,3.0024066120530546
Jumeirah Village Circle,KNN,30,2.8467258789502674
Jumeirah Village Circle,KNN,34,3.270329261125796
Jumeirah Village Triangle,KNN,2,4.757000821268472
Jumeirah Village Triangle,KNN,6,5.565094610489659
Jumeirah Village Triangle,KNN,10,6.052952435068194
Jumeirah Village Triangle,KNN,14,5.954505173843619
Jumeirah Village Triangle,KNN,18,5.891464667682092
Jumeirah Village Triangle,KNN,22,5.943027485674262
Jumeirah Village Triangle,KNN,26,5.747675583294462
Jumeirah Village Triangle,KNN,30,6.564770099045535
Jumeirah Village Triangle,KNN,34,6.856429359003531
Jumeriah Beach Residence  - JBR,KNN,2,1.5483027327766439
Jumeriah Beach Residence  - JBR,KNN,6,2.01433520527506
Jumeriah Beach Residence  - JBR,KNN,10,2.546265350338239
Jumeriah Beach Residence  - JBR,KNN,14,3.0595029462566394
Jumeriah Beach Residence  - JBR,KNN,18,3.0163393198419635
Jumeriah Beach Residence  - JBR,KNN,22,3.015456900373501
Jumeriah Beach Residence  - JBR,KNN,26,2.9679273316076014
