tag,region,model,horizon,mae_mean,mae_std
P,Business Bay,KNN,2,4.2651540771460095,1.4345575228619778
P,Business Bay,KNN,6,5.489965508627392,2.1215638234565803
P,Business Bay,KNN,10,6.485940989766917,2.458661101753505
P,Business Bay,KNN,14,6.735052786861976,2.895167766830132
P,Business Bay,KNN,18,6.4954762077200625,3.4713214943776984
P,Business Bay,KNN,22,6.15586986584498,3.0802313596798885
P,Business Bay,KNN,26,5.759863522270772,2.7301641945399724
P,Business Bay,KNN,30,5.644631495583162,2.2571294949532206
P,Business Bay,KNN,34,6.286782770874476,2.0558883441751505
P,DAMAC HILLS 2,KNN,2,0.5743619413849567,0.5277526897547948
P,DAMAC HILLS 2,KNN,6,0.7333760777886327,0.626965091066056
P,DAMAC HILLS 2,KNN,10,0.9639909517178614,0.871496003749997
P,DAMAC HILLS 2,KNN,14,1.1516782489418005,1.1021662754260761
P,DAMAC HILLS 2,KNN,18,1.2675170075643174,1.2524519802556662
P,DAMAC HILLS 2,KNN,22,1.3514353018841516,1.378341818802601
P,DAMAC HILLS 2,KNN,26,1.326010577675706,1.3798096880375514
P,DAMAC HILLS 2,KNN,30,1.3468487468010881,1.3567540939074259
P,DAMAC HILLS 2,KNN,34,1.3735396269982563,1.2889455925776891
P,DAMAC HILLS,KNN,2,3.2713936186484434,1.321562988043756
P,DAMAC HILLS,KNN,6,4.888771250260025,1.874514198738421
P,DAMAC HILLS,KNN,10,5.369087689836936,1.8859544050948363
P,DAMAC HILLS,KNN,14,4.984920612083426,1.750430037871022
P,DAMAC HILLS,KNN,18,4.361458901532014,1.7185623224617546
P,DAMAC HILLS,KNN,22,4.065272452723913,1.4517831721950063
P,DAMAC HILLS,KNN,26,4.22180462252948,1.4156930647736743
P,DAMAC HILLS,KNN,30,4.493260785536557,1.756861806857163
P,DAMAC HILLS,KNN,34,3.8668793329086446,1.420118538941968
P,TOWN SQUARE,KNN,2,2.6230697857609533,1.5912694287726517
P,TOWN SQUARE,KNN,6,3.407170817748831,2.1505755879624555
P,TOWN SQUARE,KNN,10,3.6482105606889164,2.5698350916745136
P,TOWN SQUARE,KNN,14,3.699012146008099,2.7139892116487574
