region,model,horizon,best_mae_mean
Business Bay,LSTM,2,6.0793106938586075
Business Bay,LSTM,6,6.338928239498125
Business Bay,LSTM,10,5.8536287488742165
Business Bay,LSTM,14,6.28549539739456
Business Bay,LSTM,18,6.000485250771252
Business Bay,LSTM,22,6.08610290102154
Business Bay,LSTM,26,5.902673510772722
Business Bay,LSTM,30,5.639256604871969
Business Bay,LSTM,34,5.201444163044634
DAMAC HILLS 2,LSTM,2,1.0297344315835473
DAMAC HILLS 2,LSTM,6,1.371921773536031
DAMAC HILLS 2,LSTM,10,1.2234977908062383
DAMAC HILLS 2,LSTM,14,1.0187773412009533
DAMAC HILLS 2,LSTM,18,1.079003009786027
DAMAC HILLS 2,LSTM,22,1.1323882313037963
DAMAC HILLS 2,LSTM,26,1.246959956007096
DAMAC HILLS 2,LSTM,30,1.186176623799853
DAMAC HILLS 2,LSTM,34,1.3320443299652323
DAMAC HILLS,LSTM,2,3.5235619359115296
DAMAC HILLS,LSTM,6,4.101497082084035
DAMAC HILLS,LSTM,10,4.475406638759987
DAMAC HILLS,LSTM,14,4.167679797482785
DAMAC HILLS,LSTM,18,3.815501690753502
DAMAC HILLS,LSTM,22,3.8770574314396313
DAMAC HILLS,LSTM,26,4.011693688223956
DAMAC HILLS,LSTM,30,4.114227729304915
DAMAC HILLS,LSTM,34,3.7578258357659484
TOWN SQUARE,LSTM,2,4.252449564702187
TOWN SQUARE,LSTM,6,4.764868758826039
TOWN SQUARE,LSTM,10,5.895285580669587
TOWN SQUARE,LSTM,14,5.664011663124027
TOWN SQUARE,LSTM,18,5.705869267614708
TOWN SQUARE,LSTM,22,6.205764367739814
TOWN SQUARE,LSTM,26,6.257057199049081
TOWN SQUARE,LSTM,30,5.781276513307829
TOWN SQUARE,LSTM,34,6.31863191027149
DownTown Dubai,LSTM,2,4.109828124935855
DownTown Dubai,LSTM,6,4.655289464120962
DownTown Dubai,LSTM,10,4.6011883392669715
DownTown Dubai,LSTM,14,4.272642990758224
DownTown Dubai,LSTM,18,4.263152602615093
DownTown Dubai,LSTM,22,4.614769819347438
DownTown Dubai,LSTM,26,4.304859292658807
DownTown Dubai,LSTM,30,4.604287449049459
DownTown Dubai,LSTM,34,4.821559097981542
Dubai Creek Harbour,LSTM,2,0.8616012973577398
Dubai Creek Harbour,LSTM,6,1.3903477699177935
Dubai Creek Harbour,LSTM,10,1.3081097946032023
Dubai Creek Harbour,LSTM,14,1.6522829663584992
Dubai Creek Harbour,LSTM,18,1.4880325044924683
Dubai Creek Harbour,LSTM,22,1.4231013442380336
Dubai Creek Harbour,LSTM,26,1.228421818612873
Dubai Creek Harbour,LSTM,30,1.2300196706843685
Dubai Creek Harbour,LSTM,34,1.3379849464082465
Dubai Marina,LSTM,2,5.843332970654231
Dubai Marina,LSTM,6,6.029069416302619
Dubai Marina,LSTM,10,6.197994119490345
Dubai Marina,LSTM,14,6.080235377754678
Dubai Marina,LSTM,18,6.851548803518343
Dubai Marina,LSTM,22,6.718838916771705
Dubai Marina,LSTM,26,7.880665047535568
Dubai Marina,LSTM,30,8.37991993593813
Dubai Marina,LSTM,34,7.335725151242349
Dubai South Residential District,LSTM,2,1.409302905465454
Dubai South Residential District,LSTM,6,1.861716481453767
Dubai South Residential District,LSTM,10,2.078260186310382
Dubai South Residential District,LSTM,14,2.1202416802967923
Dubai South Residential District,LSTM,18,1.7722063316965062
Dubai South Residential District,LSTM,22,2.1622308194368762
Dubai South Residential District,LSTM,26,2.3923757490388367
Dubai South Residential District,LSTM,30,2.3552403041074337
Dubai South Residential District,LSTM,34,2.495593830363099
Dubai Sports City,LSTM,2,1.622234334167618
Dubai Sports City,LSTM,6,1.9306308513926962
Dubai Sports City,LSTM,10,1.6197570276751172
Dubai Sports City,LSTM,14,1.6625823909367141
Dubai Sports City,LSTM,18,1.6918120096204579
Dubai Sports City,LSTM,22,1.9195346239235627
Dubai Sports City,LSTM,26,1.9198877774807421
Dubai Sports City,LSTM,30,2.19760240073141
Dubai Sports City,LSTM,34,1.9549101270076004
Al Furjan,LSTM,2,9.628727472065773
Al Furjan,LSTM,6,8.940532675165139
Al Furjan,LSTM,10,10.072725349685683
Al Furjan,LSTM,14,8.624177540664748
Al Furjan,LSTM,18,9.593208319747447
Al Furjan,LSTM,22,9.068731593434519
Al Furjan,LSTM,26,8.725162595740844
Al Furjan,LSTM,30,10.292789866025036
Al Furjan,LSTM,34,9.887305595644685
International City Phase 1,LSTM,2,2.8703424091467324
International City Phase 1,LSTM,6,2.9795195123086886
International City Phase 1,LSTM,10,4.2074537005908805
International City Phase 1,LSTM,14,3.777866639256037
International City Phase 1,LSTM,18,2.552318170270676
International City Phase 1,LSTM,22,2.6699151750029975
International City Phase 1,LSTM,26,3.8096207294749496
International City Phase 1,LSTM,30,3.2516647722777394
International City Phase 1,LSTM,34,3.6902056222192914
Jumeirah Lakes Towers,LSTM,2,4.689719195106037
Jumeirah Lakes Towers,LSTM,6,5.964100418551292
Jumeirah Lakes Towers,LSTM,10,6.38957390596937
Jumeirah Lakes Towers,LSTM,14,5.2505752461033754
Jumeirah Lakes Towers,LSTM,18,5.796541188987705
Jumeirah Lakes Towers,LSTM,22,6.321878669344678
Jumeirah Lakes Towers,LSTM,26,6.550171955397431
Jumeirah Lakes Towers,LSTM,30,6.888384751803708
Jumeirah Lakes Towers,LSTM,34,6.317693169492456
Jumeirah Village Circle,LSTM,2,2.123306500010387
Jumeirah Village Circle,LSTM,6,2.283481477392815
Jumeirah Village Circle,LSTM,10,2.6207186055235616
Jumeirah Village Circle,LSTM,14,2.501383151947411
Jumeirah Village Circle,LSTM,18,2.6219108172702588
Jumeirah Village Circle,LSTM,22,2.622777729244124
Jumeirah Village Circle,LSTM,26,2.6758255788117133
Jumeirah Village Circle,LSTM,30,2.8103925757028696
Jumeirah Village Circle,LSTM,34,2.946962363493622
Jumeirah Village Triangle,LSTM,2,12.797460884613468
Jumeirah Village Triangle,LSTM,6,11.424371911684652
Jumeirah Village Triangle,LSTM,10,12.050539344942312
Jumeirah Village Triangle,LSTM,14,13.497099654062316
Jumeirah Village Triangle,LSTM,18,11.122762606626932
Jumeirah Village Triangle,LSTM,22,14.624952217550444
Jumeirah Village Triangle,LSTM,26,15.140012535408331
Jumeirah Village Triangle,LSTM,30,16.195553388327795
Jumeirah Village Triangle,LSTM,34,13.28466702609519
Jumeriah Beach Residence  - JBR,LSTM,2,3.95663211274888
Jumeriah Beach Residence  - JBR,LSTM,6,4.501852685285179
Jumeriah Beach Residence  - JBR,LSTM,10,4.217011235297421
Jumeriah Beach Residence  - JBR,LSTM,14,4.374442234463464
Jumeriah Beach Residence  - JBR,LSTM,18,5.116096501284249
Jumeriah Beach Residence  - JBR,LSTM,22,4.879210827880872
Jumeriah Beach Residence  - JBR,LSTM,26,5.689833983586143
Jumeriah Beach Residence  - JBR,LSTM,30,4.9254980021955115
Jumeriah Beach Residence  - JBR,LSTM,34,5.039969146017435
Mudon,LSTM,2,3.2079625084113617
Mudon,LSTM,6,3.203445129724698
Mudon,LSTM,10,3.9448090287810578
Mudon,LSTM,14,4.159432686303601
Mudon,LSTM,18,3.2395705321193633
Mudon,LSTM,22,4.392337244030785
Mudon,LSTM,26,3.6598086614872067
Mudon,LSTM,30,4.168522788463948
Mudon,LSTM,34,3.8030901158491965
Palm Jumeirah,LSTM,2,5.930747235100679
Palm Jumeirah,LSTM,6,7.1590920874838275
Palm Jumeirah,LSTM,10,7.292919341645478
Palm Jumeirah,LSTM,14,7.968987804148481
Palm Jumeirah,LSTM,18,7.966999160429154
Palm Jumeirah,LSTM,22,7.205539095818267
Palm Jumeirah,LSTM,26,7.096503027218186
Palm Jumeirah,LSTM,30,6.618773913477102
Palm Jumeirah,LSTM,34,6.643154722741803
Silicon Oasis,LSTM,2,1.4580998421250522
Silicon Oasis,LSTM,6,2.47962576445991
Silicon Oasis,LSTM,10,2.69252591232936
Silicon Oasis,LSTM,14,1.3327609150035402
Silicon Oasis,LSTM,18,2.0716207165188374
Silicon Oasis,LSTM,22,2.168483668962169
Silicon Oasis,LSTM,26,1.621436797616462
Silicon Oasis,LSTM,30,1.9386854705399685
Silicon Oasis,LSTM,34,2.427256664295854
The Greens,LSTM,2,4.780160216262793
The Greens,LSTM,6,5.214043545783211
The Greens,LSTM,10,4.570347468889554
The Greens,LSTM,14,4.226586154069438
The Greens,LSTM,18,4.06062519753955
