tag,region,model,horizon,mae_mean,mae_std
P,Business Bay,LSTM,2,6.3295430857783685,3.5854202033775295
P,Business Bay,LSTM,6,6.338928239498125,3.0757833702250195
P,Business Bay,LSTM,10,5.8536287488742165,3.468519195259726
P,Business Bay,LSTM,14,6.741360267162415,3.3056472577705
P,Business Bay,LSTM,18,6.552855808259503,3.254422808454302
P,Business Bay,LSTM,22,6.08610290102154,2.7264245516216907
P,Business Bay,LSTM,26,6.50598079712087,3.182025881653722
P,Business Bay,LSTM,30,6.454337661136191,2.662249407950741
P,Business Bay,LSTM,34,6.291356595716527,2.36643176671755
P,DAMAC HILLS 2,LSTM,2,1.0297344315835473,0.9397212342141772
P,DAMAC HILLS 2,LSTM,6,1.371921773536031,0.993268112802982
P,DAMAC HILLS 2,LSTM,10,1.3440464995396468,0.7650983829418433
P,DAMAC HILLS 2,LSTM,14,1.0187773412009533,0.8813465795341427
P,DAMAC HILLS 2,LSTM,18,1.4313919462157285,0.6859725843672663
P,DAMAC HILLS 2,LSTM,22,1.3399238103842899,0.9369479237401303
P,DAMAC HILLS 2,LSTM,26,1.2546835436088388,0.8932124745295
P,DAMAC HILLS 2,LSTM,30,1.339029952586381,0.928135753817975
P,DAMAC HILLS 2,LSTM,34,1.3655234754509193,0.7399877693816684
P,DAMAC HILLS,LSTM,2,3.5235619359115296,1.8196495624866214
P,DAMAC HILLS,LSTM,6,4.101497082084035,1.9490501854224707
P,DAMAC HILLS,LSTM,10,5.040474313654409,3.5817181994440963
P,DAMAC HILLS,LSTM,14,4.276124585258168,1.8837610695095102
P,DAMAC HILLS,LSTM,18,4.677105324929055,2.4068356581020502
P,DAMAC HILLS,LSTM,22,3.8770574314396313,1.6220467798189597
P,DAMAC HILLS,LSTM,26,4.690790727400428,2.392027021008618
P,DAMAC HILLS,LSTM,30,4.424273172208121,1.912225966450674
P,DAMAC HILLS,LSTM,34,3.9305707538515913,1.3022047664697665
P,TOWN SQUARE,LSTM,2,4.252449564702187,2.2308400220051303
P,TOWN SQUARE,LSTM,6,4.764868758826039,3.447578950518455
