region,model,horizon,best_mae_mean
Business Bay,Naive-12Mean,2,3.729044948048321
Business Bay,Naive-12Mean,6,4.341651529770679
Business Bay,Naive-12Mean,10,4.778897537023131
Business Bay,Naive-12Mean,14,5.041710494081926
Business Bay,Naive-12Mean,18,5.385847568035739
Business Bay,Naive-12Mean,22,5.866689031406286
Business Bay,Naive-12Mean,26,6.432931120748329
Business Bay,Naive-12Mean,30,6.773045752916749
Business Bay,Naive-12Mean,34,7.671716586191191
DAMAC HILLS 2,Naive-12Mean,2,0.5361872003018014
DAMAC HILLS 2,Naive-12Mean,6,0.6771583801369694
DAMAC HILLS 2,Naive-12Mean,10,0.7667435649681146
DAMAC HILLS 2,Naive-12Mean,14,0.8996234211966868
DAMAC HILLS 2,Naive-12Mean,18,1.0563699661924446
DAMAC HILLS 2,Naive-12Mean,22,1.1836417927740248
DAMAC HILLS 2,Naive-12Mean,26,1.2817463408850915
DAMAC HILLS 2,Naive-12Mean,30,1.3756862750262902
DAMAC HILLS 2,Naive-12Mean,34,1.2995161622370015
DAMAC HILLS,Naive-12Mean,2,3.3479136368973483
DAMAC HILLS,Naive-12Mean,6,4.075800566043419
DAMAC HILLS,Naive-12Mean,10,4.341301789836327
DAMAC HILLS,Naive-12Mean,14,4.348932695053664
DAMAC HILLS,Naive-12Mean,18,4.375774394738129
DAMAC HILLS,Naive-12Mean,22,4.508435719064115
DAMAC HILLS,Naive-12Mean,26,4.649743428826549
DAMAC HILLS,Naive-12Mean,30,4.63398399292848
DAMAC HILLS,Naive-12Mean,34,4.765943086265289
TOWN SQUARE,Naive-12Mean,2,2.6289469572083326
TOWN SQUARE,Naive-12Mean,6,3.028459617191698
TOWN SQUARE,Naive-12Mean,10,3.0163765476177176
TOWN SQUARE,Naive-12Mean,14,2.9527472139135797
TOWN SQUARE,Naive-12Mean,18,3.0988588885217885
TOWN SQUARE,Naive-12Mean,22,3.3787330731747915
TOWN SQUARE,Naive-12Mean,26,3.6884898750172317
TOWN SQUARE,Naive-12Mean,30,3.9227445231935136
TOWN SQUARE,Naive-12Mean,34,4.470424615830261
DownTown Dubai,Naive-12Mean,2,2.8749994326663524
DownTown Dubai,Naive-12Mean,6,3.334957397505616
DownTown Dubai,Naive-12Mean,10,3.6886433976234265
DownTown Dubai,Naive-12Mean,14,4.0362916935569855
