tag,region,model,horizon,mae_mean,mae_std
P,Business Bay,Naive-12Mean,2,3.729044948048321,1.1851687883533897
P,Business Bay,Naive-12Mean,6,4.341651529770679,1.5375724944852105
P,Business Bay,Naive-12Mean,10,4.778897537023131,1.7039210135738825
P,Business Bay,Naive-12Mean,14,5.041710494081926,1.8155052037202386
P,Business Bay,Naive-12Mean,18,5.385847568035739,2.1429716975444437
P,Business Bay,Naive-12Mean,22,5.866689031406286,2.397826693485272
P,Business Bay,Naive-12Mean,26,6.432931120748329,2.714136263528971
P,Business Bay,Naive-12Mean,30,6.773045752916749,2.827452557831203
P,Business Bay,Naive-12Mean,34,7.671716586191191,3.083147449824311
P,DAMAC HILLS 2,Naive-12Mean,2,0.5361872003018014,0.5027886095903569
P,DAMAC HILLS 2,Naive-12Mean,6,0.6771583801369694,0.6304828997991844
P,DAMAC HILLS 2,Naive-12Mean,10,0.7667435649681146,0.7545297717253963
P,DAMAC HILLS 2,Naive-12Mean,14,0.8996234211966868,0.8492751017333126
P,DAMAC HILLS 2,Naive-12Mean,18,1.0563699661924446,0.9314037320947988
P,DAMAC HILLS 2,Naive-12Mean,22,1.1836417927740248,1.0179173358331601
P,DAMAC HILLS 2,Naive-12Mean,26,1.2817463408850915,1.048082454447054
P,DAMAC HILLS 2,Naive-12Mean,30,1.3756862750262902,1.0687425115522258
P,DAMAC HILLS 2,Naive-12Mean,34,1.2995161622370015,1.1329046540785015
P,DAMAC HILLS,Naive-12Mean,2,3.3479136368973483,1.097936641017514
P,DAMAC HILLS,Naive-12Mean,6,4.075800566043419,1.5994791745663632
P,DAMAC HILLS,Naive-12Mean,10,4.341301789836327,1.7610681230823895
P,DAMAC HILLS,Naive-12Mean,14,4.348932695053664,2.03396779409537
P,DAMAC HILLS,Naive-12Mean,18,4.375774394738129,2.1584518869921006
P,DAMAC HILLS,Naive-12Mean,22,4.508435719064115,2.230640048142775
P,DAMAC HILLS,Naive-12Mean,26,4.649743428826549,2.0354835757688745
P,DAMAC HILLS,Naive-12Mean,30,4.63398399292848,1.806250222569468
P,DAMAC HILLS,Naive-12Mean,34,4.765943086265289,1.5595036427024367
P,TOWN SQUARE,Naive-12Mean,2,2.6289469572083326,1.1702651602902725
P,TOWN SQUARE,Naive-12Mean,6,3.028459617191698,1.5164057807734161
P,TOWN SQUARE,Naive-12Mean,10,3.0163765476177176,1.619400235667124
P,TOWN SQUARE,Naive-12Mean,14,2.9527472139135797,1.5976323627922384
P,TOWN SQUARE,Naive-12Mean,18,3.0988588885217885,1.591667991594843
P,TOWN SQUARE,Naive-12Mean,22,3.3787330731747915,1.5349509626343256
P,TOWN SQUARE,Naive-12Mean,26,3.6884898750172317,1.6925224166685446
P,TOWN SQUARE,Naive-12Mean,30,3.9227445231935136,2.269270750267966
P,TOWN SQUARE,Naive-12Mean,34,4.470424615830261,2.583047148028368
P,DownTown Dubai,Naive-12Mean,2,2.8749994326663524,0.981699107839771
P,DownTown Dubai,Naive-12Mean,6,3.334957397505616,1.3034824572275812
P,DownTown Dubai,Naive-12Mean,10,3.6886433976234265,1.6069577761407128
P,DownTown Dubai,Naive-12Mean,14,4.0362916935569855,1.8514729138793284
P,DownTown Dubai,Naive-12Mean,18,4.275831258389259,2.048563116113686
P,DownTown Dubai,Naive-12Mean,22,4.401947504413501,2.022178734580127
P,DownTown Dubai,Naive-12Mean,26,4.582006341302483,2.486574447038598
P,DownTown Dubai,Naive-12Mean,30,4.860084815375066,2.9734644804194925
P,DownTown Dubai,Naive-12Mean,34,5.739971265579097,2.801528287107568
P,Dubai Creek Harbour,Naive-12Mean,2,1.0564082848407046,1.0210141711878693
P,Dubai Creek Harbour,Naive-12Mean,6,1.273099774709705,1.2243475965184631
P,Dubai Creek Harbour,Naive-12Mean,10,1.3478354609824144,1.1204320118511097
P,Dubai Creek Harbour,Naive-12Mean,14,1.3330763316784169,0.9527278645451615
P,Dubai Creek Harbour,Naive-12Mean,18,1.3458377105742136,0.9377184587835945
P,Dubai Creek Harbour,Naive-12Mean,22,1.4164386403090803,0.9428817641819742
P,Dubai Creek Harbour,Naive-12Mean,26,1.5183117077728459,0.9295454732355443
P,Dubai Creek Harbour,Naive-12Mean,30,1.594364965574472,1.0334293123084013
P,Dubai Creek Harbour,Naive-12Mean,34,1.7112292563140203,1.0061666160878988
P,Dubai Marina,Naive-12Mean,2,2.865230387276527,1.3141541230900717
P,Dubai Marina,Naive-12Mean,6,3.3256035935073234,1.5482627586780449
P,Dubai Marina,Naive-12Mean,10,3.8205697130660345,1.4452080465811443
P,Dubai Marina,Naive-12Mean,14,4.369831254125682,1.8532072762613605
P,Dubai Marina,Naive-12Mean,18,4.719073688649348,2.2993936178850345
P,Dubai Marina,Naive-12Mean,22,5.134196683764648,2.5158341437381693
P,Dubai Marina,Naive-12Mean,26,5.568290047094556,2.8314082626031216
P,Dubai Marina,Naive-12Mean,30,5.898131601673304,3.4087754415376756
P,Dubai Marina,Naive-12Mean,34,5.792109103292963,3.678260445193331
P,Dubai South Residential District,Naive-12Mean,2,0.9984411657575389,0.6392043259328388
P,Dubai South Residential District,Naive-12Mean,6,1.3127209804437985,0.8793830811920215
P,Dubai South Residential District,Naive-12Mean,10,1.5554005775138549,0.9637718243866497
P,Dubai South Residential District,Naive-12Mean,14,1.7797487672712684,0.9981945575291897
P,Dubai South Residential District,Naive-12Mean,18,1.9438204607260268,1.1165266072855349
P,Dubai South Residential District,Naive-12Mean,22,2.072365680984687,1.2789708364005123
P,Dubai South Residential District,Naive-12Mean,26,2.214823726393782,1.3946048877890806
P,Dubai South Residential District,Naive-12Mean,30,2.282856839555655,1.627248942987654
P,Dubai South Residential District,Naive-12Mean,34,2.6133804772798266,1.7349009086638723
P,Dubai Sports City,Naive-12Mean,2,1.3056105461553205,0.8876334960626586
P,Dubai Sports City,Naive-12Mean,6,1.6091787989395094,1.1678623994249946
P,Dubai Sports City,Naive-12Mean,10,1.8145163311738748,1.3396784773265171
P,Dubai Sports City,Naive-12Mean,14,2.030395686376626,1.4641450014727246
P,Dubai Sports City,Naive-12Mean,18,2.2270424793929946,1.641045154277381
P,Dubai Sports City,Naive-12Mean,22,2.474397773103641,1.6389869037261249
P,Dubai Sports City,Naive-12Mean,26,2.698891231792573,1.6475509596795785
P,Dubai Sports City,Naive-12Mean,30,2.984249209278697,1.7509926349735696
P,Dubai Sports City,Naive-12Mean,34,2.7599773593079036,1.439239367493382
P,Al Furjan,Naive-12Mean,2,3.226553810307871,1.5313308976691251
P,Al Furjan,Naive-12Mean,6,4.027868648430866,1.726613818284667
P,Al Furjan,Naive-12Mean,10,4.708778923806994,1.9233414801314312
P,Al Furjan,Naive-12Mean,14,5.009651685601086,2.2071254085020096
P,Al Furjan,Naive-12Mean,18,5.017477456075333,2.665450086247019
P,Al Furjan,Naive-12Mean,22,5.132016762606083,2.8705713791224876
P,Al Furjan,Naive-12Mean,26,5.4127055204241366,2.683998854545604
P,Al Furjan,Naive-12Mean,30,5.806451699051606,3.119745871727534
P,Al Furjan,Naive-12Mean,34,7.098501599153036,3.172918306265221
P,International City Phase 1,Naive-12Mean,2,1.077286039824553,0.6145657134414584
P,International City Phase 1,Naive-12Mean,6,1.4228820692823316,0.8623627813981565
P,International City Phase 1,Naive-12Mean,10,1.6981020377899791,1.1229830155411724
P,International City Phase 1,Naive-12Mean,14,1.923288665779547,1.3004450053567709
P,International City Phase 1,Naive-12Mean,18,2.115952920759356,1.3983259976954587
P,International City Phase 1,Naive-12Mean,22,2.374734017476379,1.4053199104178993
P,International City Phase 1,Naive-12Mean,26,2.6712126648985293,1.4693595305325182
P,International City Phase 1,Naive-12Mean,30,2.997509511371443,1.512422793476305
P,International City Phase 1,Naive-12Mean,34,3.14485131054769,1.6143339238739076
P,Jumeirah Lakes Towers,Naive-12Mean,2,1.8365271310518139,0.44695093070735675
P,Jumeirah Lakes Towers,Naive-12Mean,6,2.229206592950187,0.7761028486698016
P,Jumeirah Lakes Towers,Naive-12Mean,10,2.5844909057636167,0.985777994975949
P,Jumeirah Lakes Towers,Naive-12Mean,14,2.9170933417348524,1.2033593682733184
P,Jumeirah Lakes Towers,Naive-12Mean,18,3.297869427838034,1.2441434947334964
P,Jumeirah Lakes Towers,Naive-12Mean,22,3.7768995839620105,1.4335147834663826
P,Jumeirah Lakes Towers,Naive-12Mean,26,4.240150873974853,1.7793994690999135
P,Jumeirah Lakes Towers,Naive-12Mean,30,4.512522934980785,1.9565721203619622
P,Jumeirah Lakes Towers,Naive-12Mean,34,4.823021216435894,2.352270561596542
P,Jumeirah Village Circle,Naive-12Mean,2,2.0884189457124247,0.6408515431235344
P,Jumeirah Village Circle,Naive-12Mean,6,2.4904584322880963,1.186593562418576
P,Jumeirah Village Circle,Naive-12Mean,10,2.9397837551668218,1.4259821842835203
P,Jumeirah Village Circle,Naive-12Mean,14,3.309128777794348,1.7019681713985984
P,Jumeirah Village Circle,Naive-12Mean,18,3.57418150858432,1.8044984377254025
P,Jumeirah Village Circle,Naive-12Mean,22,3.8822949277677514,1.874282071898166
P,Jumeirah Village Circle,Naive-12Mean,26,3.9693183858602152,2.027479680510144
P,Jumeirah Village Circle,Naive-12Mean,30,3.976265712165541,2.042535811862302
P,Jumeirah Village Circle,Naive-12Mean,34,4.213203775501152,1.8850144185008881
P,Jumeirah Village Triangle,Naive-12Mean,2,3.4328459082665526,1.916863344431818
P,Jumeirah Village Triangle,Naive-12Mean,6,4.722846129430583,2.4245187130035566
P,Jumeirah Village Triangle,Naive-12Mean,10,5.858460557964156,3.1300163528249594
P,Jumeirah Village Triangle,Naive-12Mean,14,6.771689367585594,3.792674354080009
P,Jumeirah Village Triangle,Naive-12Mean,18,7.558193045527448,4.478004271815573
P,Jumeirah Village Triangle,Naive-12Mean,22,8.13494615272427,5.200317724053713
P,Jumeirah Village Triangle,Naive-12Mean,26,8.619186462116822,5.6035486323390105
P,Jumeirah Village Triangle,Naive-12Mean,30,9.192754212224054,6.098136480016829
P,Jumeirah Village Triangle,Naive-12Mean,34,10.264033856547393,6.773015453494134
P,Jumeriah Beach Residence  - JBR,Naive-12Mean,2,1.6252441016417756,0.7109885069319926
P,Jumeriah Beach Residence  - JBR,Naive-12Mean,6,2.2219669754488223,0.8722417993052755
P,Jumeriah Beach Residence  - JBR,Naive-12Mean,10,2.7650072098399665,0.927517528294182
P,Jumeriah Beach Residence  - JBR,Naive-12Mean,14,3.2701174490107108,0.9540117436382308
P,Jumeriah Beach Residence  - JBR,Naive-12Mean,18,3.7394302328777242,1.0674809053980823
P,Jumeriah Beach Residence  - JBR,Naive-12Mean,22,4.154263508610859,1.2959886042423119
P,Jumeriah Beach Residence  - JBR,Naive-12Mean,26,4.468773530060999,1.7007117578484192
P,Jumeriah Beach Residence  - JBR,Naive-12Mean,30,4.5560664544275795,1.9475796630540019
P,Jumeriah Beach Residence  - JBR,Naive-12Mean,34,4.608709848919872,2.2071054823074836
P,Mudon,Naive-12Mean,2,0.8663495290212498,0.4919693330601267
P,Mudon,Naive-12Mean,6,1.151743234386807,0.6837922682580655
P,Mudon,Naive-12Mean,10,1.4054834203872912,0.9092114882242474
P,Mudon,Naive-12Mean,14,1.6806275121205423,1.1517314856913543
P,Mudon,Naive-12Mean,18,1.9548626474347928,1.3805340853510801
