region,model,horizon,best_mae_mean
Business Bay,RF,2,3.6031456302683287
Business Bay,RF,6,4.969064947410579
Business Bay,RF,10,4.732656673897655
Business Bay,RF,14,5.012408494204123
Business Bay,RF,18,5.266607799726442
Business Bay,RF,22,4.8170772870237375
Business Bay,RF,26,4.261158301073639
Business Bay,RF,30,3.895816929460944
Business Bay,RF,34,4.467109354877951
DAMAC HILLS 2,RF,2,0.48895204945066706
DAMAC HILLS 2,RF,6,0.5924547645891216
DAMAC HILLS 2,RF,10,0.8627607590672428
DAMAC HILLS 2,RF,14,0.9428346107262116
DAMAC HILLS 2,RF,18,0.9480122310109037
DAMAC HILLS 2,RF,22,0.9647640333840461
DAMAC HILLS 2,RF,26,0.9892011836946066
DAMAC HILLS 2,RF,30,0.8898201750119478
DAMAC HILLS 2,RF,34,0.8317003189347771
DAMAC HILLS,RF,2,2.4373736884169213
DAMAC HILLS,RF,6,4.115779339973109
DAMAC HILLS,RF,10,4.733750485626599
DAMAC HILLS,RF,14,4.441756900138682
DAMAC HILLS,RF,18,4.4392048129996535
DAMAC HILLS,RF,22,3.689799986754246
DAMAC HILLS,RF,26,3.3855945228327906
DAMAC HILLS,RF,30,3.236535577816059
DAMAC HILLS,RF,34,3.3066641984027396
TOWN SQUARE,RF,2,2.082042817569002
TOWN SQUARE,RF,6,3.112220518716662
TOWN SQUARE,RF,10,3.3137451570749596
TOWN SQUARE,RF,14,3.039926726135726
TOWN SQUARE,RF,18,2.4399016152679085
TOWN SQUARE,RF,22,2.2452436535616647
TOWN SQUARE,RF,26,2.4104790177268454
TOWN SQUARE,RF,30,2.7669855811346413
TOWN SQUARE,RF,34,3.102944205683263
DownTown Dubai,RF,2,2.4944627919858298
DownTown Dubai,RF,6,3.824242781314607
DownTown Dubai,RF,10,3.8994580187822345
DownTown Dubai,RF,14,3.8603221221685033
DownTown Dubai,RF,18,3.6656468740549086
DownTown Dubai,RF,22,3.961722278265885
DownTown Dubai,RF,26,4.238837792508732
DownTown Dubai,RF,30,4.875802304483918
DownTown Dubai,RF,34,5.022969847582192
Dubai Creek Harbour,RF,2,0.6928875097931174
Dubai Creek Harbour,RF,6,1.0963172901191722
Dubai Creek Harbour,RF,10,1.163234973582015
Dubai Creek Harbour,RF,14,1.225253494404013
Dubai Creek Harbour,RF,18,1.243671319429661
Dubai Creek Harbour,RF,22,1.304439300473632
Dubai Creek Harbour,RF,26,1.107011226920517
Dubai Creek Harbour,RF,30,1.227062717036452
Dubai Creek Harbour,RF,34,1.3995730697859186
Dubai Marina,RF,2,3.5172192692746456
Dubai Marina,RF,6,3.5104479766960965
Dubai Marina,RF,10,3.878819194213031
Dubai Marina,RF,14,4.196434441599843
Dubai Marina,RF,18,4.40028296363287
