tag,region,model,horizon,mae_mean,mae_std
P,Business Bay,RF,2,3.6031456302683287,1.6421044758631576
P,Business Bay,RF,6,4.969064947410579,2.482335564436292
P,Business Bay,RF,10,5.495508324066101,2.6320989614723462
P,Business Bay,RF,14,5.60913220906694,3.1129295544151705
P,Business Bay,RF,18,5.9216861866439725,3.0564667878189287
P,Business Bay,RF,22,5.94415590477595,2.890159807558435
P,Business Bay,RF,26,5.855219987060931,2.2774424773085826
P,Business Bay,RF,30,5.476008107138672,1.9006208482820686
P,Business Bay,RF,34,6.12617602312794,1.7196518272871153
P,DAMAC HILLS 2,RF,2,0.5001590853220917,0.48725629373843754
P,DAMAC HILLS 2,RF,6,0.6711168781829429,0.6076190277961839
P,DAMAC HILLS 2,RF,10,0.9727217930677791,0.9736852153728822
P,DAMAC HILLS 2,RF,14,1.1425586611288643,1.141437612968292
P,DAMAC HILLS 2,RF,18,1.2409916146945261,1.2337809785004947
P,DAMAC HILLS 2,RF,22,1.2334859194881274,1.2912953451612514
P,DAMAC HILLS 2,RF,26,1.3344326337222816,1.4049539699199598
P,DAMAC HILLS 2,RF,30,1.2479865579168101,1.4296240995521285
P,DAMAC HILLS 2,RF,34,1.2833479543356798,1.233666300830618
P,DAMAC HILLS,RF,2,2.4373736884169213,1.0469462040813382
P,DAMAC HILLS,RF,6,4.115779339973109,1.8361270053979502
P,DAMAC HILLS,RF,10,4.862784742296038,2.253748320953502
P,DAMAC HILLS,RF,14,4.701169218772984,1.9457061511052163
P,DAMAC HILLS,RF,18,4.691699234794852,1.5572624316276482
P,DAMAC HILLS,RF,22,4.436733665784364,1.2795014943719882
P,DAMAC HILLS,RF,26,4.591826784601094,1.7006398299900314
P,DAMAC HILLS,RF,30,4.373917843980498,1.9581345247952286
P,DAMAC HILLS,RF,34,3.9772059096405363,1.4148386957563988
P,TOWN SQUARE,RF,2,2.2407334563128627,1.4605369215918584
P,TOWN SQUARE,RF,6,3.5189332258340213,2.3213263638362918
P,TOWN SQUARE,RF,10,3.669393539054721,2.649108123724684
P,TOWN SQUARE,RF,14,3.65836658398162,2.7173628803650174
P,TOWN SQUARE,RF,18,3.444730497148483,2.22716029418087
P,TOWN SQUARE,RF,22,3.5629985715798114,2.168685667859131
P,TOWN SQUARE,RF,26,3.7494536184013767,2.7257183587337384
P,TOWN SQUARE,RF,30,4.076661328272697,3.1799269742802765
P,TOWN SQUARE,RF,34,4.415945857395336,3.430926167387407
P,DownTown Dubai,RF,2,2.6290050622118066,0.9590671508327494
P,DownTown Dubai,RF,6,4.013390447452659,1.3518309324008198
P,DownTown Dubai,RF,10,4.591967867584353,2.2655369642613317
P,DownTown Dubai,RF,14,4.847779158673051,2.4027316339375755
P,DownTown Dubai,RF,18,5.185493561357069,2.2326440172342945
P,DownTown Dubai,RF,22,5.135539190926741,2.505167219280253
P,DownTown Dubai,RF,26,5.711656955755556,3.264641815719257
P,DownTown Dubai,RF,30,6.382913279522112,3.5229416293659486
P,DownTown Dubai,RF,34,6.941584787920078,3.9715480101821408
P,Dubai Creek Harbour,RF,2,0.6928875097931174,0.552056260473635
P,Dubai Creek Harbour,RF,6,1.2754658615807433,0.9233170550315193
P,Dubai Creek Harbour,RF,10,1.528316185231176,1.0486094358352236
P,Dubai Creek Harbour,RF,14,1.5682707481635543,0.847944950268788
P,Dubai Creek Harbour,RF,18,1.6317574323324748,0.9025275682284586
P,Dubai Creek Harbour,RF,22,1.682397333847836,0.9143547577564588
P,Dubai Creek Harbour,RF,26,1.7622444306359075,1.0195772033829835
P,Dubai Creek Harbour,RF,30,1.7201394345379655,1.0323396799875575
P,Dubai Creek Harbour,RF,34,1.7045620623449074,1.0702028566404005
P,Dubai Marina,RF,2,3.6423514989051804,2.433259462067003
P,Dubai Marina,RF,6,4.808454924880978,2.85025667760475
P,Dubai Marina,RF,10,5.120583963197231,3.0773163889085704
P,Dubai Marina,RF,14,5.275204229718712,3.286293817516503
P,Dubai Marina,RF,18,5.164268345603366,3.371195154854909
P,Dubai Marina,RF,22,5.722702867940994,3.1582787492689586
P,Dubai Marina,RF,26,6.076693265681132,3.291695722928179
P,Dubai Marina,RF,30,6.596333284562343,3.217948201192679
P,Dubai Marina,RF,34,7.19477171531881,3.333896087587346
P,Dubai South Residential District,RF,2,0.9225512559649088,0.492004536904447
P,Dubai South Residential District,RF,6,2.0012785928105323,1.3354191289452182
P,Dubai South Residential District,RF,10,2.6552648364254368,1.8428764071228234
P,Dubai South Residential District,RF,14,2.910389306991786,1.7354329871375946
P,Dubai South Residential District,RF,18,3.0497565669358933,1.93766549818757
P,Dubai South Residential District,RF,22,3.128976654475422,2.1236284038000086
P,Dubai South Residential District,RF,26,2.9007634631873644,2.071906563545294
P,Dubai South Residential District,RF,30,2.9689418199680095,2.013723943819611
P,Dubai South Residential District,RF,34,3.419203016846998,1.938496593881361
P,Dubai Sports City,RF,2,1.2561644471208897,0.7462763290706955
P,Dubai Sports City,RF,6,2.16132229219789,1.463513229390536
P,Dubai Sports City,RF,10,2.6202963304365605,1.7939575910855425
P,Dubai Sports City,RF,14,2.756830505523783,1.655449524738115
P,Dubai Sports City,RF,18,3.220220006208249,1.6455737077144683
P,Dubai Sports City,RF,22,3.412442327451578,1.8558843073907392
P,Dubai Sports City,RF,26,3.250542001783148,1.5680608946848005
P,Dubai Sports City,RF,30,3.2933858464578867,1.4649845074489904
P,Dubai Sports City,RF,34,3.0068150319945435,1.2913106183756315
P,Al Furjan,RF,2,4.080716702497407,2.052367573453365
P,Al Furjan,RF,6,5.6246554517744105,2.3368022869389278
P,Al Furjan,RF,10,6.014378908910594,2.387403492791228
P,Al Furjan,RF,14,6.517028489740876,2.6780243697707116
P,Al Furjan,RF,18,6.492129419885449,3.0619859519590897
P,Al Furjan,RF,22,6.96772516763636,3.625527889842415
P,Al Furjan,RF,26,7.077333123915483,3.813407338732082
P,Al Furjan,RF,30,6.469575046565315,4.235091547803728
P,Al Furjan,RF,34,7.564523045199454,3.826455979940199
P,International City Phase 1,RF,2,1.153776731833197,0.846586959080678
P,International City Phase 1,RF,6,1.9562091065701037,1.4837668887965363
P,International City Phase 1,RF,10,2.4780961931589536,1.7204250840316495
P,International City Phase 1,RF,14,2.945894319050262,1.7256065494564077
P,International City Phase 1,RF,18,3.3827323943858483,1.8009989830842557
P,International City Phase 1,RF,22,3.5383190759596084,1.5607641764635778
P,International City Phase 1,RF,26,3.0764702091597487,1.348520011446236
P,International City Phase 1,RF,30,2.717968825474168,1.6908968792456107
P,International City Phase 1,RF,34,3.131907329375499,1.6274280031348705
P,Jumeirah Lakes Towers,RF,2,2.7161872054075333,1.5813003696253194
P,Jumeirah Lakes Towers,RF,6,3.023193234745334,1.3197549857742585
P,Jumeirah Lakes Towers,RF,10,2.8421052480590174,0.930730047495662
P,Jumeirah Lakes Towers,RF,14,2.8994805707578326,1.1848790807903102
P,Jumeirah Lakes Towers,RF,18,3.141042269209026,1.6145872735178224
P,Jumeirah Lakes Towers,RF,22,3.367368576421611,1.674153564720581
P,Jumeirah Lakes Towers,RF,26,3.8170838999554126,1.8680462201629457
P,Jumeirah Lakes Towers,RF,30,3.9721185008634157,2.3490594845343065
P,Jumeirah Lakes Towers,RF,34,4.406288072604919,2.1511453092537693
P,Jumeirah Village Circle,RF,2,1.9392170146440304,0.3842828848140414
P,Jumeirah Village Circle,RF,6,2.40295503566555,0.6484999169995993
P,Jumeirah Village Circle,RF,10,2.5737094143450725,0.9719596301748613
P,Jumeirah Village Circle,RF,14,2.797108779174745,1.0435372569269754
P,Jumeirah Village Circle,RF,18,3.059736847521717,1.2800783633569142
P,Jumeirah Village Circle,RF,22,2.9070841283484623,1.6871792879177712
P,Jumeirah Village Circle,RF,26,2.8484692101436986,1.7659149560324738
P,Jumeirah Village Circle,RF,30,2.7549698571111163,1.6006878862546228
P,Jumeirah Village Circle,RF,34,3.0766583661331093,1.8251958354616327
P,Jumeirah Village Triangle,RF,2,4.471830261335543,2.6339723010919536
P,Jumeirah Village Triangle,RF,6,7.246734670209624,5.9845686043402715
P,Jumeirah Village Triangle,RF,10,8.023577544013444,5.0676658430803085
P,Jumeirah Village Triangle,RF,14,8.436252258391386,5.387486945392126
P,Jumeirah Village Triangle,RF,18,7.5322079128148,4.981066984837546
P,Jumeirah Village Triangle,RF,22,8.379831384345657,5.537700609264837
P,Jumeirah Village Triangle,RF,26,9.618813134907288,5.508606543651933
P,Jumeirah Village Triangle,RF,30,10.570534518742537,5.96288605536237
P,Jumeirah Village Triangle,RF,34,10.626380828211946,7.40948677986939
P,Jumeriah Beach Residence  - JBR,RF,2,1.1685800903695118,0.830810849569246
P,Jumeriah Beach Residence  - JBR,RF,6,1.8283759728502205,0.8055736668962208
P,Jumeriah Beach Residence  - JBR,RF,10,2.4672877869800027,1.0015471146704598
P,Jumeriah Beach Residence  - JBR,RF,14,3.0126890040837555,1.3806859456152507
P,Jumeriah Beach Residence  - JBR,RF,18,3.6046256273482316,1.7378445982545396
P,Jumeriah Beach Residence  - JBR,RF,22,4.054284702999671,1.7243678092262251
P,Jumeriah Beach Residence  - JBR,RF,26,3.958336624051794,1.9887490456200747
P,Jumeriah Beach Residence  - JBR,RF,30,3.853252229668894,2.423592245765295
P,Jumeriah Beach Residence  - JBR,RF,34,4.420194580601288,2.5238206647923263
P,Mudon,RF,2,1.2231935357487074,1.3642262822088151
P,Mudon,RF,6,1.4200252649425362,0.976976741019998
