region,model,horizon,best_mae_mean
Business Bay,Ridge,2,2.4845646955558744
Business Bay,Ridge,6,4.110257978878409
Business Bay,Ridge,10,4.605307400062699
Business Bay,Ridge,14,4.899076850062663
Business Bay,Ridge,18,5.452302784636516
Business Bay,Ridge,22,6.198565902304515
Business Bay,Ridge,26,5.414838880858005
Business Bay,Ridge,30,5.001103680932256
Business Bay,Ridge,34,5.9121945690917235
DAMAC HILLS 2,Ridge,2,0.30004840802042954
DAMAC HILLS 2,Ridge,6,0.623097771092546
DAMAC HILLS 2,Ridge,10,0.8743823943483731
DAMAC HILLS 2,Ridge,14,1.0126963353325853
DAMAC HILLS 2,Ridge,18,1.0690075743695668
DAMAC HILLS 2,Ridge,22,1.2840771420705237
DAMAC HILLS 2,Ridge,26,1.4538080547059127
DAMAC HILLS 2,Ridge,30,1.6225913551174727
DAMAC HILLS 2,Ridge,34,1.5344452800054214
DAMAC HILLS,Ridge,2,1.3657947550703446
DAMAC HILLS,Ridge,6,3.0027390718294815
DAMAC HILLS,Ridge,10,4.05726572958771
DAMAC HILLS,Ridge,14,4.562531906337526
DAMAC HILLS,Ridge,18,4.672094338216089
DAMAC HILLS,Ridge,22,4.82588888717967
DAMAC HILLS,Ridge,26,5.025241081420175
DAMAC HILLS,Ridge,30,5.162747872115154
DAMAC HILLS,Ridge,34,5.449075321402825
TOWN SQUARE,Ridge,2,1.1409875506007823
TOWN SQUARE,Ridge,6,2.701320444844005
TOWN SQUARE,Ridge,10,3.3631760606880876
TOWN SQUARE,Ridge,14,3.518882417232107
TOWN SQUARE,Ridge,18,3.5764096997521215
TOWN SQUARE,Ridge,22,3.5865868090784083
TOWN SQUARE,Ridge,26,3.7651265925537354
TOWN SQUARE,Ridge,30,4.12184521228726
TOWN SQUARE,Ridge,34,4.57832438546708
DownTown Dubai,Ridge,2,1.730877847806107
DownTown Dubai,Ridge,6,3.3837032001913796
DownTown Dubai,Ridge,10,4.082933654231878
DownTown Dubai,Ridge,14,4.388564037394001
DownTown Dubai,Ridge,18,4.398990431831517
DownTown Dubai,Ridge,22,4.545705250179816
DownTown Dubai,Ridge,26,5.534752472107149
DownTown Dubai,Ridge,30,6.179101785079661
DownTown Dubai,Ridge,34,7.124912042491693
Dubai Creek Harbour,Ridge,2,0.4997110464423285
Dubai Creek Harbour,Ridge,6,1.0350217576810534
Dubai Creek Harbour,Ridge,10,1.3691914210963805
Dubai Creek Harbour,Ridge,14,1.4239362861733615
Dubai Creek Harbour,Ridge,18,1.408327424086346
Dubai Creek Harbour,Ridge,22,1.6073994764696544
Dubai Creek Harbour,Ridge,26,1.7180034392619334
Dubai Creek Harbour,Ridge,30,1.7213608990803002
Dubai Creek Harbour,Ridge,34,1.7624928153372619
Dubai Marina,Ridge,2,1.9255936054762017
Dubai Marina,Ridge,6,3.397306810620047
Dubai Marina,Ridge,10,3.6073472088969085
Dubai Marina,Ridge,14,4.28316661718104
Dubai Marina,Ridge,18,4.816504453170039
Dubai Marina,Ridge,22,5.145449895785477
Dubai Marina,Ridge,26,5.304651078729168
Dubai Marina,Ridge,30,5.546783361996857
Dubai Marina,Ridge,34,5.936603414255924
Dubai South Residential District,Ridge,2,0.37625879226094117
Dubai South Residential District,Ridge,6,0.914021129588475
Dubai South Residential District,Ridge,10,1.351630479622643
Dubai South Residential District,Ridge,14,1.6909125933047968
Dubai South Residential District,Ridge,18,1.914454283702978
Dubai South Residential District,Ridge,22,2.135525638203964
Dubai South Residential District,Ridge,26,2.3853535405573383
Dubai South Residential District,Ridge,30,2.655098080800038
Dubai South Residential District,Ridge,34,2.9756796070918505
Dubai Sports City,Ridge,2,0.7207541946682755
Dubai Sports City,Ridge,6,1.5207820615038459
Dubai Sports City,Ridge,10,1.6922188054350424
Dubai Sports City,Ridge,14,1.907525745360222
Dubai Sports City,Ridge,18,2.049594590139752
Dubai Sports City,Ridge,22,2.340326444988258
Dubai Sports City,Ridge,26,2.610359535574501
Dubai Sports City,Ridge,30,2.97046896985671
Dubai Sports City,Ridge,34,2.80924896418518
Al Furjan,Ridge,2,2.019226561797348
Al Furjan,Ridge,6,3.3558738594660404
Al Furjan,Ridge,10,3.853130870624492
Al Furjan,Ridge,14,4.70685050165319
Al Furjan,Ridge,18,4.780519382436702
Al Furjan,Ridge,22,4.609717468409205
Al Furjan,Ridge,26,4.534082702572584
Al Furjan,Ridge,30,4.959755958242608
Al Furjan,Ridge,34,5.556036860922091
International City Phase 1,Ridge,2,0.5475862630096215
International City Phase 1,Ridge,6,1.1467584309090093
International City Phase 1,Ridge,10,1.571231327122942
International City Phase 1,Ridge,14,1.9685136327590889
International City Phase 1,Ridge,18,2.3161515181435175
International City Phase 1,Ridge,22,2.462264969686884
International City Phase 1,Ridge,26,2.6601835410622297
International City Phase 1,Ridge,30,3.1211202124925377
International City Phase 1,Ridge,34,3.1484250611863445
Jumeirah Lakes Towers,Ridge,2,1.1562874030359365
Jumeirah Lakes Towers,Ridge,6,2.1348281086931746
Jumeirah Lakes Towers,Ridge,10,2.2976154205297266
Jumeirah Lakes Towers,Ridge,14,2.5417042229899995
Jumeirah Lakes Towers,Ridge,18,2.831379641781759
Jumeirah Lakes Towers,Ridge,22,3.2454296322356653
Jumeirah Lakes Towers,Ridge,26,3.373245706830466
Jumeirah Lakes Towers,Ridge,30,3.4412736207377828
Jumeirah Lakes Towers,Ridge,34,3.7380889006752045
Jumeirah Village Circle,Ridge,2,1.6906269773408695
Jumeirah Village Circle,Ridge,6,2.337495663740187
Jumeirah Village Circle,Ridge,10,2.6852904454168343
Jumeirah Village Circle,Ridge,14,2.9394921541571573
Jumeirah Village Circle,Ridge,18,2.90861090978833
Jumeirah Village Circle,Ridge,22,3.115927907807795
Jumeirah Village Circle,Ridge,26,3.0403818130519733
Jumeirah Village Circle,Ridge,30,3.1729044253851835
Jumeirah Village Circle,Ridge,34,3.286996645687028
Jumeirah Village Triangle,Ridge,2,1.782799786179006
Jumeirah Village Triangle,Ridge,6,3.3732453448913615
Jumeirah Village Triangle,Ridge,10,4.35898693997138
Jumeirah Village Triangle,Ridge,14,5.6986654257463165
Jumeirah Village Triangle,Ridge,18,6.882436218994722
Jumeirah Village Triangle,Ridge,22,6.632377077099744
Jumeirah Village Triangle,Ridge,26,6.331405891762578
Jumeirah Village Triangle,Ridge,30,6.795667897812658
Jumeirah Village Triangle,Ridge,34,7.579743334844043
Jumeriah Beach Residence  - JBR,Ridge,2,0.6836769878664797
Jumeriah Beach Residence  - JBR,Ridge,6,1.3688309090215625
Jumeriah Beach Residence  - JBR,Ridge,10,2.042351252205237
Jumeriah Beach Residence  - JBR,Ridge,14,2.528183372720735
Jumeriah Beach Residence  - JBR,Ridge,18,3.009123851177509
Jumeriah Beach Residence  - JBR,Ridge,22,3.4254810322440563
Jumeriah Beach Residence  - JBR,Ridge,26,3.6965614669988023
Jumeriah Beach Residence  - JBR,Ridge,30,4.283566554287402
Jumeriah Beach Residence  - JBR,Ridge,34,4.731369649648244
Mudon,Ridge,2,0.3830053738
Mudon,Ridge,6,0.788584510594296
Mudon,Ridge,10,1.1370274739797774
Mudon,Ridge,14,1.4423301545592297
Mudon,Ridge,18,1.7864796164782484
Mudon,Ridge,22,2.092955525120528
Mudon,Ridge,26,2.4083128473415245
Mudon,Ridge,30,2.6823833973644673
Mudon,Ridge,34,3.0769015982202004
Palm Jumeirah,Ridge,2,1.7798522229559204
Palm Jumeirah,Ridge,6,3.9664461007965093
Palm Jumeirah,Ridge,10,4.684535874987413
Palm Jumeirah,Ridge,14,5.058600047377568
Palm Jumeirah,Ridge,18,5.350144425306391
Palm Jumeirah,Ridge,22,5.550267823144209
Palm Jumeirah,Ridge,26,5.397486722998174
Palm Jumeirah,Ridge,30,5.598680784965089
Palm Jumeirah,Ridge,34,6.460732878654723
Silicon Oasis,Ridge,2,0.47600947317871656
Silicon Oasis,Ridge,6,0.9886339849927726
Silicon Oasis,Ridge,10,1.2330919257726376
Silicon Oasis,Ridge,14,1.3580139444031603
Silicon Oasis,Ridge,18,1.453693202413922
Silicon Oasis,Ridge,22,1.5072052676184713
Silicon Oasis,Ridge,26,1.425574168243864
Silicon Oasis,Ridge,30,1.486296879795391
Silicon Oasis,Ridge,34,1.6737771563771675
The Greens,Ridge,2,0.43072660851017924
The Greens,Ridge,6,0.9167530693330818
The Greens,Ridge,10,1.4091316679592694
The Greens,Ridge,14,1.781369854724407
The Greens,Ridge,18,2.040976616244122
The Greens,Ridge,22,2.3794371415282476
The Greens,Ridge,26,2.3997513590902053
The Greens,Ridge,30,2.393697961954657
The Greens,Ridge,34,2.7656348626368947
