tag,region,model,horizon,mae_mean,mae_std
P,Business Bay,Ridge,2,2.4845646955558744,0.6307276013259757
P,Business Bay,Ridge,6,4.110257978878409,1.339592747576708
P,Business Bay,Ridge,10,4.605307400062699,1.4966723428033302
P,Business Bay,Ridge,14,4.899076850062663,1.66814038855022
P,Business Bay,Ridge,18,5.452302784636516,2.097210158299398
P,Business Bay,Ridge,22,6.198565902304515,2.1480003197012243
P,Business Bay,Ridge,26,6.717862873997625,2.3389123486272965
P,Business Bay,Ridge,30,6.76646083460948,2.453326304400573
P,Business Bay,Ridge,34,7.782663013635499,2.3157437568450217
P,DAMAC HILLS 2,Ridge,2,0.30004840802042954,0.2901393851983685
P,DAMAC HILLS 2,Ridge,6,0.623097771092546,0.5689460354869765
P,DAMAC HILLS 2,Ridge,10,0.8743823943483731,0.7377823733160116
P,DAMAC HILLS 2,Ridge,14,1.0126963353325853,0.7812661177787648
P,DAMAC HILLS 2,Ridge,18,1.0690075743695668,0.7553798989384116
P,DAMAC HILLS 2,Ridge,22,1.2840771420705237,0.8856515141849329
P,DAMAC HILLS 2,Ridge,26,1.4538080547059127,1.0427271418908504
P,DAMAC HILLS 2,Ridge,30,1.6225913551174727,1.1822374486276528
P,DAMAC HILLS 2,Ridge,34,1.5344452800054214,1.1937603002142436
P,DAMAC HILLS,Ridge,2,1.3657947550703446,0.35471722409270856
P,DAMAC HILLS,Ridge,6,3.0027390718294815,0.9006055606505458
P,DAMAC HILLS,Ridge,10,4.05726572958771,1.552468161886885
P,DAMAC HILLS,Ridge,14,4.562531906337526,1.9652481142531313
P,DAMAC HILLS,Ridge,18,4.672094338216089,2.409344966663968
P,DAMAC HILLS,Ridge,22,4.82588888717967,2.61157856808464
P,DAMAC HILLS,Ridge,26,5.025241081420175,2.5092032384979324
P,DAMAC HILLS,Ridge,30,5.162747872115154,2.30701728101135
P,DAMAC HILLS,Ridge,34,5.563834329897844,2.3074583679984846
P,TOWN SQUARE,Ridge,2,1.1409875506007823,0.36401908428195534
P,TOWN SQUARE,Ridge,6,2.701320444844005,1.0637137900541567
P,TOWN SQUARE,Ridge,10,3.3631760606880876,1.4876131580374605
P,TOWN SQUARE,Ridge,14,3.518882417232107,1.5965992568146459
P,TOWN SQUARE,Ridge,18,3.5764096997521215,1.4362397543414291
P,TOWN SQUARE,Ridge,22,3.5865868090784083,1.4792923027098386
P,TOWN SQUARE,Ridge,26,3.7651265925537354,1.6088755366448186
P,TOWN SQUARE,Ridge,30,4.12184521228726,2.2636324886121417
P,TOWN SQUARE,Ridge,34,4.57832438546708,2.8835302298860235
P,DownTown Dubai,Ridge,2,1.730877847806107,0.5250161451401626
P,DownTown Dubai,Ridge,6,3.3837032001913796,1.2340874880941786
P,DownTown Dubai,Ridge,10,4.106514342193165,1.5071283453982272
P,DownTown Dubai,Ridge,14,4.625759365510325,2.0772629982070843
P,DownTown Dubai,Ridge,18,5.0018256156697305,2.074771305130533
P,DownTown Dubai,Ridge,22,5.278059222340351,2.3207992626874203
P,DownTown Dubai,Ridge,26,5.546506940178103,2.9799913770888815
P,DownTown Dubai,Ridge,30,6.179101785079661,3.475242599906376
P,DownTown Dubai,Ridge,34,7.124912042491693,3.528913135868233
P,Dubai Creek Harbour,Ridge,2,0.4997110464423285,0.44477045765500917
P,Dubai Creek Harbour,Ridge,6,1.0350217576810534,1.0164367245192456
P,Dubai Creek Harbour,Ridge,10,1.3691914210963805,1.2161172860100598
P,Dubai Creek Harbour,Ridge,14,1.4239362861733615,1.0134553490338039
P,Dubai Creek Harbour,Ridge,18,1.408327424086346,0.808837885584711
P,Dubai Creek Harbour,Ridge,22,1.6073994764696544,0.9087692921368351
P,Dubai Creek Harbour,Ridge,26,1.7180034392619334,0.903674484797172
P,Dubai Creek Harbour,Ridge,30,1.7213608990803002,0.9668494203393487
P,Dubai Creek Harbour,Ridge,34,1.7624928153372619,1.008512076063357
P,Dubai Marina,Ridge,2,1.9255936054762017,0.6816691872775643
P,Dubai Marina,Ridge,6,3.397306810620047,1.3423782389402177
P,Dubai Marina,Ridge,10,3.6073472088969085,1.3313542801774205
P,Dubai Marina,Ridge,14,4.28316661718104,1.8375802530937957
P,Dubai Marina,Ridge,18,4.816504453170039,2.228022073329464
P,Dubai Marina,Ridge,22,5.145449895785477,2.54137946272348
P,Dubai Marina,Ridge,26,5.304651078729168,2.8760467750560754
P,Dubai Marina,Ridge,30,5.546783361996857,3.1942671788921198
P,Dubai Marina,Ridge,34,5.936603414255924,3.241128804794358
P,Dubai South Residential District,Ridge,2,0.37625879226094117,0.225962791053572
P,Dubai South Residential District,Ridge,6,0.914021129588475,0.5836590135087819
P,Dubai South Residential District,Ridge,10,1.351630479622643,0.8637970713938373
P,Dubai South Residential District,Ridge,14,1.6909125933047968,0.9230817092366618
P,Dubai South Residential District,Ridge,18,1.914454283702978,0.8087146822232802
P,Dubai South Residential District,Ridge,22,2.135525638203964,0.8650816127582395
P,Dubai South Residential District,Ridge,26,2.3853535405573383,1.0691409907741476
P,Dubai South Residential District,Ridge,30,2.655098080800038,1.2423074732944799
P,Dubai South Residential District,Ridge,34,2.9756796070918505,1.4239840240250554
P,Dubai Sports City,Ridge,2,0.7207541946682755,0.44916665463131406
P,Dubai Sports City,Ridge,6,1.5207820615038459,1.0440266280687795
P,Dubai Sports City,Ridge,10,1.6922188054350424,1.2918245927194745
P,Dubai Sports City,Ridge,14,1.907525745360222,1.313339792962984
P,Dubai Sports City,Ridge,18,2.049594590139752,1.4370499231141252
P,Dubai Sports City,Ridge,22,2.340326444988258,1.5158734526548663
P,Dubai Sports City,Ridge,26,2.610359535574501,1.5908753023999807
P,Dubai Sports City,Ridge,30,2.97046896985671,1.7693427434380502
P,Dubai Sports City,Ridge,34,2.80924896418518,1.778544994846644
P,Al Furjan,Ridge,2,2.019226561797348,1.2523614850030964
P,Al Furjan,Ridge,6,3.526387888843897,2.1333340313967133
P,Al Furjan,Ridge,10,4.1192672164687965,1.9674536530936915
P,Al Furjan,Ridge,14,5.240071300918336,2.4080399510531962
P,Al Furjan,Ridge,18,5.83125031676794,3.0240364705121805
P,Al Furjan,Ridge,22,5.986568788485423,3.09884540043858
P,Al Furjan,Ridge,26,6.59217786198371,3.0437396949852014
P,Al Furjan,Ridge,30,6.81459204754263,3.3737116647801564
P,Al Furjan,Ridge,34,7.34764849499641,4.18363307956597
P,International City Phase 1,Ridge,2,0.5475862630096215,0.22663731809941404
P,International City Phase 1,Ridge,6,1.1467584309090093,0.3563848065802318
P,International City Phase 1,Ridge,10,1.571231327122942,0.4987777820248872
P,International City Phase 1,Ridge,14,1.9685136327590889,0.6653628211067432
P,International City Phase 1,Ridge,18,2.3161515181435175,0.7299850807473425
P,International City Phase 1,Ridge,22,2.462264969686884,0.9326468430282108
P,International City Phase 1,Ridge,26,2.6601835410622297,1.162874519119676
P,International City Phase 1,Ridge,30,3.1211202124925377,1.2768586517011022
P,International City Phase 1,Ridge,34,3.1484250611863445,1.5711818590727527
P,Jumeirah Lakes Towers,Ridge,2,1.1562874030359365,0.3141518310927903
P,Jumeirah Lakes Towers,Ridge,6,2.1348281086931746,0.5448510770736583
P,Jumeirah Lakes Towers,Ridge,10,2.2976154205297266,0.6777572875460003
P,Jumeirah Lakes Towers,Ridge,14,2.5417042229899995,1.0657156212325172
P,Jumeirah Lakes Towers,Ridge,18,2.831379641781759,1.0511607562090564
P,Jumeirah Lakes Towers,Ridge,22,3.2454296322356653,1.2439892084373882
P,Jumeirah Lakes Towers,Ridge,26,3.6680659452881996,1.5364916364915189
P,Jumeirah Lakes Towers,Ridge,30,4.064282921826506,1.7776662376715053
P,Jumeirah Lakes Towers,Ridge,34,4.771787019308643,1.6922777992734541
P,Jumeirah Village Circle,Ridge,2,1.6906269773408695,0.672501108162121
P,Jumeirah Village Circle,Ridge,6,2.337495663740187,0.7730989096627141
P,Jumeirah Village Circle,Ridge,10,2.6852904454168343,1.0303628715034676
P,Jumeirah Village Circle,Ridge,14,3.1669894737584063,1.1733478923013032
P,Jumeirah Village Circle,Ridge,18,3.564127621092166,1.508615332341603
P,Jumeirah Village Circle,Ridge,22,3.8162343099904765,1.7903443664288796
P,Jumeirah Village Circle,Ridge,26,4.048600125145956,1.978535757774251
P,Jumeirah Village Circle,Ridge,30,4.141764674137942,2.2200144495375738
P,Jumeirah Village Circle,Ridge,34,4.537172542524235,1.9272611660043295
P,Jumeirah Village Triangle,Ridge,2,1.782799786179006,1.1869864085370687
P,Jumeirah Village Triangle,Ridge,6,3.3732453448913615,1.907852310208008
P,Jumeirah Village Triangle,Ridge,10,4.35898693997138,2.3389412655380424
P,Jumeirah Village Triangle,Ridge,14,5.6986654257463165,3.0442097355113793
P,Jumeirah Village Triangle,Ridge,18,6.942627012111781,3.8668531559659995
P,Jumeirah Village Triangle,Ridge,22,7.878178327585933,4.488682816443305
P,Jumeirah Village Triangle,Ridge,26,8.763208813027049,4.618473312900807
P,Jumeirah Village Triangle,Ridge,30,9.348982527735986,4.928742599120817
P,Jumeirah Village Triangle,Ridge,34,11.20063145127948,4.683192168142847
P,Jumeriah Beach Residence  - JBR,Ridge,2,0.6836769878664797,0.303387303944145
P,Jumeriah Beach Residence  - JBR,Ridge,6,1.3688309090215625,0.5048443673964691
P,Jumeriah Beach Residence  - JBR,Ridge,10,2.042351252205237,0.6796173710065804
P,Jumeriah Beach Residence  - JBR,Ridge,14,2.528183372720735,0.9248275438781711
P,Jumeriah Beach Residence  - JBR,Ridge,18,3.009123851177509,1.2534986061181408
P,Jumeriah Beach Residence  - JBR,Ridge,22,3.4254810322440563,1.584770927098923
P,Jumeriah Beach Residence  - JBR,Ridge,26,3.6965614669988023,1.9968217234297518
P,Jumeriah Beach Residence  - JBR,Ridge,30,4.283566554287402,1.8234245029056417
P,Jumeriah Beach Residence  - JBR,Ridge,34,4.731369649648244,1.7289216283288538
P,Mudon,Ridge,2,0.3830053738,0.1366160484627206
P,Mudon,Ridge,6,0.788584510594296,0.3052640045516099
P,Mudon,Ridge,10,1.1370274739797774,0.5687859573423528
P,Mudon,Ridge,14,1.4423301545592297,0.8739258715425429
P,Mudon,Ridge,18,1.7864796164782484,1.1278263264127775
P,Mudon,Ridge,22,2.092955525120528,1.3416131424614801
P,Mudon,Ridge,26,2.4083128473415245,1.4761827218616945
P,Mudon,Ridge,30,2.6823833973644673,1.613042893164512
P,Mudon,Ridge,34,3.0769015982202004,1.8535670967516784
P,Palm Jumeirah,Ridge,2,1.7798522229559204,0.5206030715162616
P,Palm Jumeirah,Ridge,6,3.9664461007965093,1.3761862052898344
P,Palm Jumeirah,Ridge,10,4.684535874987413,1.569240673343935
P,Palm Jumeirah,Ridge,14,5.058600047377568,1.4589340976171568
P,Palm Jumeirah,Ridge,18,5.350144425306391,1.3745193419243524
P,Palm Jumeirah,Ridge,22,5.550267823144209,1.5960999612671547
P,Palm Jumeirah,Ridge,26,5.397486722998174,2.758679487968445
P,Palm Jumeirah,Ridge,30,5.598680784965089,2.806010252647582
P,Palm Jumeirah,Ridge,34,6.460732878654723,2.597457912498999
P,Silicon Oasis,Ridge,2,0.47600947317871656,0.4632847905817866
P,Silicon Oasis,Ridge,6,0.9886339849927726,0.6792759905860365
P,Silicon Oasis,Ridge,10,1.2330919257726376,0.5456853498229415
P,Silicon Oasis,Ridge,14,1.4412555591914382,0.6753107516574802
P,Silicon Oasis,Ridge,18,1.6025654895323238,0.7329893721081315
P,Silicon Oasis,Ridge,22,1.7869346947983857,0.8065115953834542
P,Silicon Oasis,Ridge,26,1.9430711596680896,0.9053186239753064
P,Silicon Oasis,Ridge,30,2.020105957956818,0.9874096176087562
P,Silicon Oasis,Ridge,34,2.392577121668368,0.8858353594587862
P,The Greens,Ridge,2,0.43072660851017924,0.23645359632578059
P,The Greens,Ridge,6,0.9167530693330818,0.5007093743066816
P,The Greens,Ridge,10,1.4091316679592694,0.6451567446543223
P,The Greens,Ridge,14,1.8443838689252388,0.695710050861429
P,The Greens,Ridge,18,2.1606377746307883,0.6849117070020069
P,The Greens,Ridge,22,2.427067032886619,0.785446150632321
P,The Greens,Ridge,26,2.6313783624701537,0.941857816947593
P,The Greens,Ridge,30,2.9648340905733876,0.9533292891117251
P,The Greens,Ridge,34,3.387899819493349,1.08148990252312
PC,Business Bay,Ridge,2,2.645961149617536,0.7433775481662261
PC,Business Bay,Ridge,6,4.8968573919616345,2.35914114357685
PC,Business Bay,Ridge,10,6.04454804504501,4.066286425337076
PC,Business Bay,Ridge,14,7.002973276724904,5.553825694863156
PC,Business Bay,Ridge,18,7.672125207143151,6.416578515961521
PC,Business Bay,Ridge,22,7.916504052170133,6.929790184028362
PC,Business Bay,Ridge,26,8.310379411073853,7.369572216987092
PC,Business Bay,Ridge,30,8.660029127170407,8.129123250530743
PC,Business Bay,Ridge,34,10.301453714807026,7.991380563245587
PC,DAMAC HILLS 2,Ridge,2,0.40449985295010504,0.46837256293237084
PC,DAMAC HILLS 2,Ridge,6,0.8221763861901309,0.9031721238652852
PC,DAMAC HILLS 2,Ridge,10,1.0468073372746356,0.9733932030596749
PC,DAMAC HILLS 2,Ridge,14,1.2835118297361077,1.1821261143741555
PC,DAMAC HILLS 2,Ridge,18,1.4942734859080198,1.3757106104411905
PC,DAMAC HILLS 2,Ridge,22,1.7084103398847847,1.462350444392292
