region,model,horizon,best_mae_mean
Business Bay,XGB,2,3.9259707275721096
Business Bay,XGB,6,4.957922272606817
Business Bay,XGB,10,4.6374636520012205
Business Bay,XGB,14,5.152679619098462
Business Bay,XGB,18,4.722426134999885
Business Bay,XGB,22,4.395656374596689
Business Bay,XGB,26,3.88234146093004
Business Bay,XGB,30,3.8352665761749387
Business Bay,XGB,34,4.295637293953156
DAMAC HILLS 2,XGB,2,0.4648756362039294
DAMAC HILLS 2,XGB,6,0.6038119822499628
DAMAC HILLS 2,XGB,10,0.8736017421375349
DAMAC HILLS 2,XGB,14,0.8561925207293072
DAMAC HILLS 2,XGB,18,0.8428292771045307
DAMAC HILLS 2,XGB,22,0.9601737878226162
DAMAC HILLS 2,XGB,26,0.9689570480626475
DAMAC HILLS 2,XGB,30,0.9151858128410103
DAMAC HILLS 2,XGB,34,0.8670921727647818
DAMAC HILLS,XGB,2,2.5768080598358036
DAMAC HILLS,XGB,6,4.1945429818556335
DAMAC HILLS,XGB,10,4.479477936248716
DAMAC HILLS,XGB,14,4.394876293053729
DAMAC HILLS,XGB,18,4.1170198297939615
DAMAC HILLS,XGB,22,3.5889380621396887
DAMAC HILLS,XGB,26,3.232640680036377
DAMAC HILLS,XGB,30,3.0720187157576175
DAMAC HILLS,XGB,34,3.330827946932154
TOWN SQUARE,XGB,2,2.2777465051640386
TOWN SQUARE,XGB,6,3.1333044146502798
TOWN SQUARE,XGB,10,3.5199475705508037
TOWN SQUARE,XGB,14,3.111345898516978
TOWN SQUARE,XGB,18,2.536188833515033
TOWN SQUARE,XGB,22,2.3672962488108285
TOWN SQUARE,XGB,26,2.9172769633309774
TOWN SQUARE,XGB,30,2.904928658329289
TOWN SQUARE,XGB,34,3.273896251622974
DownTown Dubai,XGB,2,2.5513113346848884
DownTown Dubai,XGB,6,3.7453555857313416
DownTown Dubai,XGB,10,3.944554344016904
DownTown Dubai,XGB,14,3.764105770877302
DownTown Dubai,XGB,18,3.7828868458203218
DownTown Dubai,XGB,22,3.8170177966129835
DownTown Dubai,XGB,26,4.288199288624956
DownTown Dubai,XGB,30,4.696926806057716
DownTown Dubai,XGB,34,4.923929869019385
Dubai Creek Harbour,XGB,2,0.779011359805741
Dubai Creek Harbour,XGB,6,1.1782471949838116
Dubai Creek Harbour,XGB,10,1.277650677700102
Dubai Creek Harbour,XGB,14,1.1723509575152402
Dubai Creek Harbour,XGB,18,1.270805419548023
Dubai Creek Harbour,XGB,22,1.3324764825215325
Dubai Creek Harbour,XGB,26,1.137002755034209
Dubai Creek Harbour,XGB,30,1.0837720120192378
Dubai Creek Harbour,XGB,34,1.4248243663245739
Dubai Marina,XGB,2,3.453978877620007
Dubai Marina,XGB,6,3.5385316209697435
Dubai Marina,XGB,10,3.861720658629666
Dubai Marina,XGB,14,3.902181506160318
Dubai Marina,XGB,18,4.2230783465174095
Dubai Marina,XGB,22,5.015149494309673
Dubai Marina,XGB,26,5.241527632321681
Dubai Marina,XGB,30,5.145560862049575
Dubai Marina,XGB,34,4.690416132336834
Dubai South Residential District,XGB,2,1.0003283479211222
