tag,region,model,horizon,mae_mean,mae_std
P,Business Bay,XGB,2,3.951368796684831,1.7515009448427368
P,Business Bay,XGB,6,5.121783470674865,2.3769470470840366
P,Business Bay,XGB,10,5.9384703700332775,2.2665711925372913
P,Business Bay,XGB,14,6.155439172111296,2.913847146831502
P,Business Bay,XGB,18,6.263939127273828,2.9777725043306904
P,Business Bay,XGB,22,6.011994075265059,3.0885257137760487
P,Business Bay,XGB,26,5.707808806565319,2.550699731859207
P,Business Bay,XGB,30,5.162274798828495,2.0393215137068856
P,Business Bay,XGB,34,6.044742846271202,1.4961521200826673
P,DAMAC HILLS 2,XGB,2,0.4894607255905436,0.48942063520340395
P,DAMAC HILLS 2,XGB,6,0.735488176613939,0.6887818617422697
P,DAMAC HILLS 2,XGB,10,0.9643040775222198,0.9524099320667437
P,DAMAC HILLS 2,XGB,14,1.074566268454993,1.0917118784491977
P,DAMAC HILLS 2,XGB,18,1.1658431374970495,1.1465289019835962
P,DAMAC HILLS 2,XGB,22,1.1188094322916429,1.1237261825270715
P,DAMAC HILLS 2,XGB,26,1.2946200959744159,1.2962452336582169
P,DAMAC HILLS 2,XGB,30,1.1057054347046935,1.1278557460761216
P,DAMAC HILLS 2,XGB,34,1.1620859981155114,1.0766683448531085
P,DAMAC HILLS,XGB,2,2.5768080598358036,1.1813147612338322
P,DAMAC HILLS,XGB,6,4.543516985683267,1.7707391892187505
P,DAMAC HILLS,XGB,10,5.162138558360909,2.34551526942364
P,DAMAC HILLS,XGB,14,5.295836824331823,2.1620214695840314
P,DAMAC HILLS,XGB,18,5.1318580857783775,1.415544328053946
P,DAMAC HILLS,XGB,22,4.803516614809221,1.3376355903703283
P,DAMAC HILLS,XGB,26,4.904720637138488,1.8012488718035267
P,DAMAC HILLS,XGB,30,4.524264785086092,2.0359251748441323
P,DAMAC HILLS,XGB,34,4.223892383120652,1.7332786778951494
P,TOWN SQUARE,XGB,2,2.572702740634562,1.6808188087304181
P,TOWN SQUARE,XGB,6,3.7699077218600068,2.2176116822748697
P,TOWN SQUARE,XGB,10,3.9850828683882504,2.545463281201529
P,TOWN SQUARE,XGB,14,3.7480549443646387,2.4212646425446085
P,TOWN SQUARE,XGB,18,3.601224868644762,2.077666024672322
P,TOWN SQUARE,XGB,22,3.54438767395747,1.9555088117937962
P,TOWN SQUARE,XGB,26,3.735112427124098,2.463809603840704
P,TOWN SQUARE,XGB,30,4.168413770403097,2.9918009047668934
P,TOWN SQUARE,XGB,34,4.630060547988779,3.335568034820817
P,DownTown Dubai,XGB,2,2.5513113346848884,0.7391327505580736
P,DownTown Dubai,XGB,6,4.310601137973416,1.5798010485192304
P,DownTown Dubai,XGB,10,4.779901684869228,2.2541198841841714
P,DownTown Dubai,XGB,14,5.137479236512428,2.3857576622729493
P,DownTown Dubai,XGB,18,5.224243989561111,2.1533332496527446
P,DownTown Dubai,XGB,22,5.448322800755904,2.7529354391955883
P,DownTown Dubai,XGB,26,6.619602151542594,3.175787537228698
P,DownTown Dubai,XGB,30,6.918789947770709,3.796455826858089
P,DownTown Dubai,XGB,34,7.459248693872096,4.218270171867172
P,Dubai Creek Harbour,XGB,2,0.8044505281982465,0.6108751780910381
P,Dubai Creek Harbour,XGB,6,1.3861765016725356,1.023022356128546
P,Dubai Creek Harbour,XGB,10,1.549958552282074,1.2418862146700593
P,Dubai Creek Harbour,XGB,14,1.6778149036873955,1.0167999919390993
P,Dubai Creek Harbour,XGB,18,1.7843255290321742,1.0863355844286253
P,Dubai Creek Harbour,XGB,22,1.8745855891822842,1.1010337080259862
P,Dubai Creek Harbour,XGB,26,1.8861608598449433,1.1904276873186534
P,Dubai Creek Harbour,XGB,30,1.879394737584668,1.1068223339840946
P,Dubai Creek Harbour,XGB,34,1.8402877912425606,1.230761347153784
P,Dubai Marina,XGB,2,4.10685584583079,2.8975742960366024
P,Dubai Marina,XGB,6,5.173544773566702,3.015515353552876
P,Dubai Marina,XGB,10,5.387237975980219,3.05375514481645
P,Dubai Marina,XGB,14,5.2495869130489545,3.6166145084766526
P,Dubai Marina,XGB,18,5.281610081815029,3.5175036892547755
P,Dubai Marina,XGB,22,5.9103242921921515,3.2435696527387363
P,Dubai Marina,XGB,26,6.310412892022706,3.361329657171305
P,Dubai Marina,XGB,30,6.839384824593546,3.470147240902787
P,Dubai Marina,XGB,34,7.863034386487251,3.7476264817309315
P,Dubai South Residential District,XGB,2,1.1687021710699912,0.8111601872402018
P,Dubai South Residential District,XGB,6,2.21395487874425,1.684240458000988
P,Dubai South Residential District,XGB,10,2.8410000878048036,2.3399006011130448
P,Dubai South Residential District,XGB,14,2.982684551991198,1.902579936691499
P,Dubai South Residential District,XGB,18,2.8064684347398785,1.7970450628385897
P,Dubai South Residential District,XGB,22,2.7120074349564556,1.4137078276422248
P,Dubai South Residential District,XGB,26,2.760917627773822,1.9181216909239802
P,Dubai South Residential District,XGB,30,2.734387378132672,1.9768525479488441
P,Dubai South Residential District,XGB,34,3.2703430603414514,1.9734285308889754
P,Dubai Sports City,XGB,2,1.376603903706436,0.8729601003412292
P,Dubai Sports City,XGB,6,2.235028864973562,1.5323677765341908
P,Dubai Sports City,XGB,10,2.6585212278046817,1.5761786655415568
P,Dubai Sports City,XGB,14,2.864167791041335,1.4437910095081459
P,Dubai Sports City,XGB,18,3.1722495062387908,1.7968507607456345
P,Dubai Sports City,XGB,22,3.501727586954081,1.615410900833699
P,Dubai Sports City,XGB,26,3.4346308308521634,1.4586411171471014
P,Dubai Sports City,XGB,30,3.493017289607219,1.3324053704032581
P,Dubai Sports City,XGB,34,3.01760741256362,0.8966044524373828
P,Al Furjan,XGB,2,4.208025984426169,1.94850112933063
P,Al Furjan,XGB,6,5.616269198151544,2.2438298610518936
P,Al Furjan,XGB,10,6.438866105080722,2.6482961359868655
P,Al Furjan,XGB,14,6.91051296019049,3.2946338328614675
P,Al Furjan,XGB,18,6.749708890560299,3.518848075281748
P,Al Furjan,XGB,22,7.195499043626127,4.033102185505865
P,Al Furjan,XGB,26,7.078859855329846,4.225302708920966
P,Al Furjan,XGB,30,6.426652274621463,4.126271128531321
P,Al Furjan,XGB,34,7.100164622464546,3.7162487044902837
P,International City Phase 1,XGB,2,1.3296643068267935,1.1833838407874089
P,International City Phase 1,XGB,6,1.9383307552521039,1.455155708562606
P,International City Phase 1,XGB,10,2.570045183658606,1.654370465790011
P,International City Phase 1,XGB,14,2.850848709805993,1.3067060347147534
P,International City Phase 1,XGB,18,3.194152290332565,1.1282368636238835
P,International City Phase 1,XGB,22,3.163206385781576,1.1089036238988115
P,International City Phase 1,XGB,26,2.912636226131636,1.2819668237674835
P,International City Phase 1,XGB,30,2.7274690591720727,1.4612235492695589
P,International City Phase 1,XGB,34,3.20774199170003,1.7178322868758809
P,Jumeirah Lakes Towers,XGB,2,2.8761739007982046,1.9751208297050251
P,Jumeirah Lakes Towers,XGB,6,3.3619013188594464,1.5182383411485278
P,Jumeirah Lakes Towers,XGB,10,2.9416390881459415,0.8503686629771133
P,Jumeirah Lakes Towers,XGB,14,3.005682056134746,1.1550411065354302
P,Jumeirah Lakes Towers,XGB,18,3.262081896896354,2.055786740687691
P,Jumeirah Lakes Towers,XGB,22,3.389987990208806,2.1996021396488556
P,Jumeirah Lakes Towers,XGB,26,3.783426464573816,2.4882360365607785
P,Jumeirah Lakes Towers,XGB,30,4.204063664292361,2.2093113891643434
P,Jumeirah Lakes Towers,XGB,34,4.4035102310216985,2.459257599297747
P,Jumeirah Village Circle,XGB,2,2.04545135334631,0.33892366728302503
P,Jumeirah Village Circle,XGB,6,2.460571722441423,0.6425662082218818
P,Jumeirah Village Circle,XGB,10,2.625226979405895,0.8700415623073018
P,Jumeirah Village Circle,XGB,14,2.8084491024326015,1.099315332402237
P,Jumeirah Village Circle,XGB,18,3.061629310830101,1.3918644475564361
P,Jumeirah Village Circle,XGB,22,3.0605957752446944,1.650577497951662
P,Jumeirah Village Circle,XGB,26,3.2483840790746656,1.8853325178355371
P,Jumeirah Village Circle,XGB,30,2.9400831377102974,1.756855721046928
P,Jumeirah Village Circle,XGB,34,3.1803406468569637,1.9636529727453997
P,Jumeirah Village Triangle,XGB,2,5.289655343634015,3.3735248958647315
P,Jumeirah Village Triangle,XGB,6,7.198501913617919,5.065816868047746
P,Jumeirah Village Triangle,XGB,10,7.704041775485743,4.56398695197873
P,Jumeirah Village Triangle,XGB,14,7.733764027087827,4.608889714174915
P,Jumeirah Village Triangle,XGB,18,7.877164483153601,5.387816971735295
P,Jumeirah Village Triangle,XGB,22,8.72331497868836,5.996553293074294
P,Jumeirah Village Triangle,XGB,26,9.925346106024985,6.365091117370941
P,Jumeirah Village Triangle,XGB,30,10.760360720431974,7.148519767233408
P,Jumeirah Village Triangle,XGB,34,10.878004408997121,8.419935024798294
P,Jumeriah Beach Residence  - JBR,XGB,2,1.388660782625855,1.2953443769304842
P,Jumeriah Beach Residence  - JBR,XGB,6,2.2986406318176296,1.4770191719515986
P,Jumeriah Beach Residence  - JBR,XGB,10,2.9950086615423928,1.8830442022469696
P,Jumeriah Beach Residence  - JBR,XGB,14,3.376232473569556,1.9238818039658292
P,Jumeriah Beach Residence  - JBR,XGB,18,3.750371593968891,1.8636830787842122
P,Jumeriah Beach Residence  - JBR,XGB,22,4.266197435990227,2.0229695603780278
P,Jumeriah Beach Residence  - JBR,XGB,26,4.080383456116027,1.878339271045057
P,Jumeriah Beach Residence  - JBR,XGB,30,3.8974334122540903,2.263245418100789
P,Jumeriah Beach Residence  - JBR,XGB,34,4.591346205618429,2.42308082263597
P,Mudon,XGB,2,1.3118928583674094,1.405886333506922
P,Mudon,XGB,6,1.5481584502162058,1.085739711577416
P,Mudon,XGB,10,1.9132373773985478,1.1359349000892434
P,Mudon,XGB,14,2.2099050578958517,1.438657753015915
P,Mudon,XGB,18,2.486020142932184,1.7085193915717072
P,Mudon,XGB,22,2.69249578479272,1.94861549643663
P,Mudon,XGB,26,2.715497760785584,2.324362913116237
P,Mudon,XGB,30,2.7454215090607876,2.5753428681824273
P,Mudon,XGB,34,3.275427373669672,2.8076611632784347
P,Palm Jumeirah,XGB,2,3.578553111137132,2.208997655583718
P,Palm Jumeirah,XGB,6,5.594465290460219,3.0535853119313234
P,Palm Jumeirah,XGB,10,5.787416881370266,3.90525550746356
P,Palm Jumeirah,XGB,14,6.119625877095147,3.543582518807012
P,Palm Jumeirah,XGB,18,6.524589474317999,2.9155337854358288
P,Palm Jumeirah,XGB,22,6.328943789634815,3.010834516375635
P,Palm Jumeirah,XGB,26,7.094952807008726,2.567305900960742
P,Palm Jumeirah,XGB,30,7.023474176301924,2.8704041884426705
P,Palm Jumeirah,XGB,34,6.6913746199437805,3.090872957024273
P,Silicon Oasis,XGB,2,0.8063336420106177,0.6582137312143648
P,Silicon Oasis,XGB,6,1.0255234016676837,0.8395330705177338
P,Silicon Oasis,XGB,10,1.1358656155692355,0.896952704829634
P,Silicon Oasis,XGB,14,1.2412653007997905,0.9497252636318398
P,Silicon Oasis,XGB,18,1.2877967489598316,0.983904596462726
P,Silicon Oasis,XGB,22,1.413078830987561,1.0043335402170022
P,Silicon Oasis,XGB,26,1.4775044713176828,1.119748602349587
P,Silicon Oasis,XGB,30,1.3687851812121168,1.1707741443980462
P,Silicon Oasis,XGB,34,1.4892538477798702,1.2364661725600115
P,The Greens,XGB,2,1.4032393652629858,1.2388796618305642
P,The Greens,XGB,6,1.652423272826945,1.6695708194821925
P,The Greens,XGB,10,1.8498460643307335,2.098315418930409
P,The Greens,XGB,14,2.1354130513287894,2.5229705963091615
P,The Greens,XGB,18,2.424803237712445,2.8587472970632604
P,The Greens,XGB,22,2.6753909056292318,3.2325717607173847
P,The Greens,XGB,26,2.9069428165083933,3.70546288005664
P,The Greens,XGB,30,3.0880863497846223,4.199899091606302
P,The Greens,XGB,34,3.5810641660339866,4.626438313287902
PC,Business Bay,XGB,2,3.9259707275721096,1.5386988477765613
PC,Business Bay,XGB,6,5.636313033238802,2.6494048498359297
PC,Business Bay,XGB,10,5.868874716033741,2.093918052150943
PC,Business Bay,XGB,14,6.4873313291779535,2.957337329932794
PC,Business Bay,XGB,18,6.623729141169653,2.6713163576326164
PC,Business Bay,XGB,22,6.0306243814841665,2.7516190780978325
PC,Business Bay,XGB,26,5.7664044213059515,2.338981213762019
PC,Business Bay,XGB,30,5.056106007965155,2.9957389369421827
PC,Business Bay,XGB,34,5.285877639504101,2.425000992620165
PC,DAMAC HILLS 2,XGB,2,0.4648756362039294,0.4605161763586221
