region,P,PC,PCS,PCSB,PCSBI,PCSBIG
Al Furjan,8.392864953524173,,,,,
Business Bay,7.762804777731733,,,,,
DAMAC HILLS,5.654620079734495,,,,,
DAMAC HILLS 2,1.272676909267864,,,,,
DownTown Dubai,6.091524165519203,,,,,
Dubai Creek Harbour,2.114519499325141,,,,,
Dubai Marina,7.067866070194625,,,,,
Dubai South Residential District,3.2522855409410476,,,,,
Dubai Sports City,3.7233068216680536,,,,,
Global,5.185253437253896,,,,,
International City Phase 1,3.1428734983619813,,,,,
Jumeirah Lakes Towers,5.43689467228567,,,,,
Jumeirah Village Circle,3.794576884972887,,,,,
Jumeirah Village Triangle,10.969144473612005,,,,,
Jumeriah Beach Residence  - JBR,4.3781670628647005,,,,,
Mudon,3.2755894775226264,,,,,
Palm Jumeirah,7.661306400718701,,,,,
Silicon Oasis,1.488250423037102,,,,,
TOWN SQUARE,4.362006979090391,,,,,
The Greens,3.252827089451767,,,,,
