region,P,PC,PCS,PCSB,PCSBI,PCSBIG
Al Furjan,6.801376880036339,5.048335488449404,4.603464265675616,4.438275478959814,4.7259558828996555,4.321670257539087
Business Bay,5.8970925962428025,5.5407690807705245,5.230995318720821,4.5066869388701685,4.558560002855786,4.256209807314523
DAMAC HILLS,4.193981580324894,3.5384949950876745,3.638088750336332,3.298207686088182,3.7485603505659526,3.3291369984090644
DAMAC HILLS 2,1.3487996504916833,0.875461288578661,0.8872976939881531,0.8315003070525783,0.8911965543633839,0.8860403318228812
DownTown Dubai,5.8013106587516114,4.951615983497053,4.708615966482767,3.9033422014115833,3.9732240909494982,3.948038762611669
Dubai Creek Harbour,1.928448399979021,1.65889476134946,1.3851267005183365,1.4399165612733233,1.2956861492942628,1.3097977841075428
Dubai Marina,6.403969542069511,5.780379359731131,5.0235440184538005,4.737611607507551,4.189090518969062,3.8538072880457506
Dubai South Residential District,3.1253363317835188,2.209131951659462,2.0918218143856904,1.8602802863983718,1.902873143346774,1.6161099206940943
Dubai Sports City,3.511269531218474,3.1272277850425287,2.51903089494914,1.951285081242646,1.6204156708363768,1.712723403674022
International City Phase 1,3.5127905043229046,3.0766123765728692,2.585175341116047,2.52322845317922,2.194850804387741,1.8566601090144264
Jumeirah Lakes Towers,4.004265662629216,3.4135097598531625,3.0142093581482428,2.8982159199693984,2.7273429362816866,2.852760181791481
Jumeirah Village Circle,3.0549031150590777,3.4306346855232053,3.5868943725852094,3.2771176738642787,3.3645614033805646,3.3386372086283287
Jumeirah Village Triangle,12.240931492184961,9.264580831746882,8.33234937581046,7.930576740805246,8.169001112446248,6.389625013781175
Jumeriah Beach Residence  - JBR,4.371625229478631,4.691679568026754,4.85497407075581,3.0277243984750477,3.0185414878626182,3.328584363442237
Mudon,3.3565602068081275,3.3532513284720644,2.687360944994077,2.443652297395523,1.5928218655860187,1.6933300175953319
Palm Jumeirah,6.706364413914994,8.283623167969234,6.221571469417132,5.514604294430517,5.775295149757369,5.421737305613952
Silicon Oasis,1.4135762076374823,1.026992834726757,0.9693141639865345,0.9458101727095438,0.9305227243429407,0.951898169986332
TOWN SQUARE,4.205491285737526,4.939534075555712,4.204051016359062,3.301956191328257,2.903882897781573,2.906343670654074
The Greens,3.1753556946662145,2.3654198082595745,1.9200201951674511,1.6815158942101789,1.6916507179376563,1.6780422148359222
