region,P,PC,PCS,PCSB,PCSBI,PCSBIG
Al Furjan,11.162737044437307,9.635086019136855,12.032642156329432,11.987514799390993,11.509222777067123,11.169508048649584
Business Bay,6.417225017991195,6.4549985498601,5.586042212877332,6.000983597404617,6.175175515289021,6.1522503799112895
DAMAC HILLS,4.348544884486714,4.256017671722293,4.747858319980438,4.670388735539031,4.619626411429518,4.057815572387824
DAMAC HILLS 2,1.3197456572153796,1.4301052220169252,1.667352630652764,1.5496098758918482,1.2964864770564277,1.387994803445288
DownTown Dubai,5.044734340993338,4.8351936337615475,5.162039267429775,5.1658957883197845,4.762527121918692,4.881332245715597
Dubai Creek Harbour,1.4562681417591987,1.4224259126699266,1.5273366925940197,1.4881209386918652,1.4784182953692164,1.4143177439124377
Dubai Marina,9.100612125167718,8.329389543517243,9.289273159953554,8.597578436491249,8.612447339961179,8.543323228334518
Dubai South Residential District,2.703613770095384,2.747574049238668,2.827203493777692,2.7038809289117522,2.55251440600741,2.487956707988149
Dubai Sports City,2.446546739159153,2.1517650136238995,2.1766006407326914,2.2688983527052184,2.282993981956998,2.1671683046024235
International City Phase 1,3.7091570801836116,3.723425562851235,5.108141457763316,5.080836083017271,5.118890585235649,5.412468314147
Jumeirah Lakes Towers,6.813200884389896,7.311579786229838,7.855711737867584,7.416161887928546,7.435623772606312,6.996409576151383
Jumeirah Village Circle,2.851487539609153,3.0090634924330435,2.9380136971925785,2.9407674329280176,2.9344474040109034,2.9924557016843853
Jumeirah Village Triangle,16.062054650350195,14.873410983277106,18.407253016978025,19.072916869872135,17.693094510206546,17.91650159309516
Jumeriah Beach Residence  - JBR,5.401849019119659,5.670329564198194,6.081830237814835,6.426965271162325,6.161222985376889,6.3823800324210405
Mudon,4.136878670022927,4.28586455144971,5.149672423215695,4.949503656559926,4.711616117028414,4.8214016131531015
Palm Jumeirah,8.062272161177042,8.59658423920356,8.351939734080183,6.8821839883624705,7.890269152926291,7.238549587346301
Silicon Oasis,2.105776559271532,2.2289980371668876,3.807468128786765,2.921785093907143,3.102986215951676,2.5508599389687467
TOWN SQUARE,6.338127426648858,6.787246099530251,7.601682612029857,6.677085232863173,6.987123654640215,7.532558085919116
The Greens,5.788833841644532,4.832565046448752,6.298543742777256,6.403890932110336,6.87768285792772,6.477643939220389
