region,P,PC,PCS,PCSB,PCSBI,PCSBIG
Al Furjan,7.037143738560084,5.067941654716291,4.889494031903717,4.509564748136554,4.708802302637452,4.558494003159939
Business Bay,5.819134705775848,5.562689815527933,5.594420239509211,4.847463387661897,4.55476476959728,4.208028195137511
DAMAC HILLS,4.314316846074043,4.004745627911433,3.8836336912805085,3.3095980996838628,3.7181326725853547,3.6814735068502693
DAMAC HILLS 2,1.2885890486582572,1.3845610476504377,0.9752251341471684,0.921899346073363,0.9654397036443837,0.9859300112606526
DownTown Dubai,6.345385007732582,5.040130430533211,5.0719720886071435,4.9450341827842434,5.531984822139478,5.027571872056537
Dubai Creek Harbour,1.7289819758395935,1.611486822613342,1.3817001255353745,1.4497575966654248,1.2924713764891465,1.2721005937226346
Dubai Marina,6.622599421854095,5.680901443004129,5.548155362757261,5.035080177733728,5.945074335392633,5.513671282974831
Dubai South Residential District,3.0963027666674576,3.1443828151557818,2.16052358266332,2.014785847249662,1.8725484840956061,1.7694947590529473
Dubai Sports City,3.183580960078526,2.4118582207587878,2.2386564653150622,2.0616352895361536,2.1992443279236134,2.1314093427309864
International City Phase 1,2.9754487880031384,2.779334063796064,3.0426494538362703,3.0722859844086394,2.4079997570258036,2.9308716317087984
Jumeirah Lakes Towers,4.0651634911412495,3.3125962637660655,3.283972185743492,3.160242391332569,3.4167223039132346,3.244215069840037
Jumeirah Village Circle,2.8933658111293084,3.3940493531656224,3.166107272717545,3.1790847136615663,3.1404880142228326,3.137133795502754
Jumeirah Village Triangle,10.271909493953924,8.83743799115654,7.991305862507905,7.722819891414822,8.102925661515426,6.461457297287982
Jumeriah Beach Residence  - JBR,4.077261144773992,4.430706884379053,4.302231975412785,4.0006211209107,4.080009884184052,3.40861356568198
Mudon,2.895996214890895,3.4412181630539203,3.038940919863336,2.4651423798604877,2.4847679627315173,2.449753239887509
Palm Jumeirah,6.695108843705975,7.06568560461947,6.73155176173653,6.671602783675076,6.194391915877934,5.431485405204029
Silicon Oasis,1.3783376444256097,1.460613332211861,1.529559435022579,1.0046813780756716,1.0407860320620108,1.0171859935741743
TOWN SQUARE,4.080686934689803,3.9431337659355066,3.953573023368947,3.593434518397702,4.1243734184412615,2.7601362681815833
The Greens,3.125356042425666,2.0563514034109525,2.2446943973663456,2.276535631772552,2.3030984684196643,1.9557872263243865
