region,P,PC,PCS,PCSB,PCSBI,PCSBIG
Al Furjan,6.91813946817425,6.562134098934716,5.792115437024516,5.016625173912428,5.913156425513653,5.880799141084597
Business Bay,7.088995574080868,9.090620751017097,9.107622877250359,7.283374714004952,6.436578117076134,5.442712376960661
DAMAC HILLS,5.250607761144391,5.601636442787666,5.927046232043778,5.628495094564218,6.165374253937756,5.832574705618065
DAMAC HILLS 2,1.5369482299429358,2.0868893074019286,2.244203114350119,2.3928045049646873,2.5318475464080055,2.786379049274702
DownTown Dubai,6.283506922583153,7.782065176630148,7.650604339541199,8.421246489390633,6.475420034498064,7.2037567480143645
Dubai Creek Harbour,1.7339523845598321,1.949964293266322,2.038191600121094,2.3847632013238504,2.4552755079184636,3.074409206600869
Dubai Marina,5.596012618327316,6.0281726038259364,6.115339253498294,7.38264445041586,7.5510537163976865,9.291301666011945
Dubai South Residential District,2.672043742816409,2.7816448808016667,2.8369356916089346,3.5305304738484384,3.7006851064433683,3.970774708438101
Dubai Sports City,2.79669248987213,3.8109415775826605,4.400904864601257,4.540735022697571,6.12437461592138,5.672974893835792
International City Phase 1,2.9765762715803703,5.145390026986342,5.189345828031222,4.115558774420809,5.431511170224777,4.477704667679855
Jumeirah Lakes Towers,4.16804529547445,3.5175360760811514,3.631996659118198,5.432578357510937,6.162114111691737,6.527335352375601
Jumeirah Village Circle,4.242512447269378,5.20850775979487,5.008455916500773,3.166760961374728,3.4999300442597208,4.8769739702276516
Jumeirah Village Triangle,9.770940930680837,11.657388228870628,9.633201895745039,9.164039462713028,8.92340164170279,6.902272374806426
Jumeriah Beach Residence  - JBR,4.237165890311482,5.997339352487976,6.2007897708384165,7.071717759619376,6.518216036727853,5.644934444821479
Mudon,2.7225326143087307,3.9115995621411934,3.8290123437931576,4.214348031825803,3.139600583280192,3.67715427979473
Palm Jumeirah,5.818966795539329,6.5909816887112145,6.4900401509332815,7.4425116591519105,8.131375925688246,9.26968128508813
Silicon Oasis,2.118584746431092,1.9555561604250074,2.145408805368937,1.5285494014721408,1.7206770774402171,2.121875821829565
TOWN SQUARE,4.155098730102693,4.884389355148122,4.828597170232917,5.608108009368128,6.814146894038124,4.475989392661808
The Greens,2.99470409084563,3.0107351550031747,2.983385100655699,2.5196947278939192,3.453547990298411,3.1617497162894868
