region,P,PC,PCS,PCSB,PCSBI,PCSBIG
Al Furjan,6.868558917471952,5.119186450222702,4.722677072417615,4.3569377134948395,4.4664839861335155,4.421899106071126
Business Bay,5.638275483888338,5.369462689591736,5.089296142032026,4.571076543734903,4.2170137946025745,4.004415110352712
DAMAC HILLS,4.55095926844841,3.8821514373370793,3.7818610781330144,3.2264978840398464,3.4877324608517886,3.409481351365726
DAMAC HILLS 2,1.187470509598207,1.504592458733417,0.9437307290712966,0.95379927708885,1.0087586113792197,1.01713079872525
DownTown Dubai,6.999213597728466,5.326120764654855,5.254542908508531,4.895866256640814,5.53183100207571,4.91534307356134
Dubai Creek Harbour,1.868614462890724,1.7143601581727659,1.4179720891859093,1.4786530091389611,1.224980945858672,1.2603117415708338
Dubai Marina,7.004277367701167,5.792384979597018,5.361928706858926,5.051197330883606,5.544655168316183,5.172751446088158
Dubai South Residential District,2.921882688749315,2.923269458167964,2.202357065330157,1.9701920734710494,2.08446838688823,1.8978299904394518
Dubai Sports City,3.315085177674334,2.2501496901052995,2.083927978150616,1.9258380918146056,2.171021149320252,2.128250716318042
International City Phase 1,2.949282425667913,2.8198990493867675,2.7743299426277352,2.81874760007193,2.1202378522065515,2.2941511795483494
Jumeirah Lakes Towers,4.130333453295958,3.323797880076928,3.1005006028757216,3.0619732877029815,3.3971845452543854,3.1428623187862157
Jumeirah Village Circle,3.1229359545473088,3.5670062876765662,3.1240166705222836,3.0443955660221023,3.034981844247607,3.045601980739528
Jumeirah Village Triangle,10.521237078484694,9.604102177962128,8.496898128427874,7.814007246782237,8.550018589416625,6.331410627597023
Jumeriah Beach Residence  - JBR,4.189721024662848,4.111024246650924,4.004526576323375,3.6580889420195546,3.8417845019878154,3.198247869165592
Mudon,2.912115547838681,3.6423830973737537,3.1270469092686266,2.455045250545757,2.471155846311307,2.4018924302237465
Palm Jumeirah,6.936600534418144,7.078532677714453,6.369831773450735,6.341343918935237,6.0901454972808,5.278522906013127
Silicon Oasis,1.44518116676989,1.4154630907697527,1.3633201646510427,0.9516590494070133,0.9716209768895397,0.9955321449671461
TOWN SQUARE,4.177862248505325,4.229319636904531,4.024866659842854,3.7289518377451443,4.292912012930511,3.03203395776108
The Greens,3.1920311107756674,1.8773494212867614,1.9935110714325426,2.004415547706829,1.8664288655708,1.6881289110409738
