tag,mean,std,model
P,4.3727,2.1495,Ridge
PC,5.1354,2.5456,Ridge
PCS,5.0554,2.2189,Ridge
PCSB,5.0971,2.2353,Ridge
PCSBI,5.3236,2.0771,Ridge
PCSBIG,5.2785,2.0022,Ridge
P,4.3102,2.2964,RF
PC,3.9279,1.9586,RF
PCS,3.7383,1.8827,RF
PCSB,3.4864,1.8224,RF
PCSBI,3.5834,1.9329,RF
PCSBIG,3.2603,1.6044,RF
P,4.4765,2.5039,KNN
PC,4.0303,2.209,KNN
PCS,3.6034,1.9118,KNN
PCSB,3.1848,1.7394,KNN
PCSBI,3.1197,1.8526,KNN
PCSBIG,2.929,1.5353,KNN
P,5.5405,3.6711,LSTM
PC,5.399,3.368,LSTM
PCS,6.1377,4.0417,LSTM
PCSB,5.9582,4.118,LSTM
PCSBI,5.9054,3.8952,LSTM
PCSBIG,5.8202,3.922,LSTM
P,4.4175,2.3744,XGB
PC,3.9763,2.0827,XGB
PCS,3.6441,1.9199,XGB
PCSB,3.3847,1.8088,XGB
PCSBI,3.4933,1.9737,XGB
PCSBIG,3.1387,1.5474,XGB
