model,group,P,PC,PCS,PCSB,PCSBI,PCSBIG
Ridge,Short,1.988 ± 1.269,2.248 ± 1.448,2.260 ± 1.435,2.446 ± 1.544,2.608 ± 1.634,2.912 ± 1.836
Ridge,Medium,3.426 ± 1.704,4.005 ± 1.968,3.987 ± 1.829,4.254 ± 1.818,4.428 ± 1.818,4.687 ± 1.820
Ridge,Long,4.373 ± 2.130,5.135 ± 2.525,5.055 ± 2.208,5.097 ± 2.220,5.324 ± 2.065,5.278 ± 1.980
RF,Short,2.905 ± 1.771,2.887 ± 1.738,2.876 ± 1.707,2.796 ± 1.560,2.949 ± 1.666,2.839 ± 1.574
RF,Medium,3.858 ± 1.884,3.687 ± 1.829,3.560 ± 1.821,3.376 ± 1.686,3.484 ± 1.773,3.218 ± 1.557
RF,Long,4.310 ± 2.253,3.928 ± 1.936,3.738 ± 1.850,3.486 ± 1.789,3.583 ± 1.902,3.260 ± 1.580
KNN,Short,3.104 ± 1.760,3.309 ± 1.782,3.224 ± 1.712,3.161 ± 1.611,3.090 ± 1.609,3.022 ± 1.566
KNN,Medium,4.031 ± 2.077,3.749 ± 1.916,3.463 ± 1.755,3.146 ± 1.588,3.002 ± 1.618,2.910 ± 1.551
KNN,Long,4.476 ± 2.461,4.030 ± 2.177,3.603 ± 1.876,3.185 ± 1.708,3.120 ± 1.817,2.929 ± 1.504
LSTM,Short,4.746 ± 2.956,5.258 ± 3.291,6.028 ± 3.638,5.741 ± 3.429,5.615 ± 3.129,5.883 ± 3.591
LSTM,Medium,5.189 ± 3.325,5.462 ± 3.404,5.893 ± 3.601,5.864 ± 3.906,5.702 ± 3.615,5.603 ± 3.216
LSTM,Long,5.541 ± 3.594,5.399 ± 3.317,6.138 ± 4.030,5.958 ± 4.056,5.905 ± 3.822,5.820 ± 3.853
XGB,Short,3.075 ± 1.799,3.004 ± 1.780,2.935 ± 1.687,2.859 ± 1.591,2.940 ± 1.648,2.822 ± 1.576
XGB,Medium,3.955 ± 1.939,3.649 ± 1.833,3.428 ± 1.775,3.248 ± 1.616,3.316 ± 1.706,3.056 ± 1.516
XGB,Long,4.417 ± 2.330,3.976 ± 2.071,3.644 ± 1.894,3.385 ± 1.780,3.493 ± 1.942,3.139 ± 1.530
ARIMA,Short,1.724 ± 1.478,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
ARIMA,Medium,3.266 ± 1.965,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
ARIMA,Long,3.997 ± 2.194,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
Naive-12Mean,Short,2.489 ± 1.386,2.489 ± 1.386,2.489 ± 1.386,2.489 ± 1.386,2.489 ± 1.386,2.489 ± 1.386
Naive-12Mean,Medium,3.387 ± 1.730,3.387 ± 1.730,3.387 ± 1.730,3.387 ± 1.730,3.387 ± 1.730,3.387 ± 1.730
Naive-12Mean,Long,4.183 ± 2.086,4.183 ± 2.086,4.183 ± 2.086,4.183 ± 2.086,4.183 ± 2.086,4.183 ± 2.086
